GENE	P
RGR	0.63041
CCSER2	0.5862
GRID1	0.12277
WAPL	0.73217
OPN4	0.62805
LDB3	0.047884
BMPR1A	0.031625
MMRN2	0.29341
SNCG	0.1589
ADIRF	0.19872
AGAP11	0.15488
FAM25A	0.41867
GLUD1	0.42653
SHLD2	0.26421
NUTM2A	0.77933
MINPP1	0.21439
PAPSS2	0.22247
ATAD1	0.033163
KLLN	0.7246
PTEN	0.7578
RNLS	0.72459
LIPJ	0.99244
LIPF	0.25477
LIPK	0.91096
LIPN	0.51182
LIPM	0.29602
ANKRD22	0.5792
STAMBPL1	0.82421
ACTA2	0.84346
FAS	0.90859
CH25H	0.47829
LIPA	0.55585
IFIT2	0.2041
IFIT3	0.31189
IFIT1B	0.31755
IFIT1	0.50069
IFIT5	0.23452
SLC16A12	0.95743
PANK1	0.56622
KIF20B	0.66128
HTR7	0.67234
RPP30	0.38305
ANKRD1	0.49288
PCGF5	0.30489
HECTD2	0.77066
PPP1R3C	0.23254
TNKS2	0.30449
FGFBP3	0.42437
BTAF1	0.5061
CPEB3	0.35567
MARCHF5	0.17297
IDE	0.76513
KIF11	0.77236
HHEX	0.86074
EXOC6	0.4806
CYP26C1	0.44181
CYP26A1	0.56454
MYOF	0.68342
CEP55	0.3103
FFAR4	0.41975
RBP4	0.39607
PDE6C	0.21312
FRA10AC1	0.13336
LGI1	0.035991
SLC35G1	0.053488
PLCE1	0.88635
NOC3L	0.19725
TBC1D12	0.18743
HELLS	0.44879
CYP2C18	0.012498
CYP2C19	0.049689
CYP2C9	0.048175
CYP2C8	0.28318
ACSM6	0.78386
PDLIM1	0.64259
SORBS1	0.65099
ALDH18A1	0.5812
TCTN3	0.67973
ENTPD1	0.75411
CC2D2B	0.96565
CCNJ	0.86247
ZNF518A	0.89254
BLNK	0.19983
DNTT	0.67373
OPALIN	0.55138
TLL2	0.65955
TM9SF3	0.030616
PIK3AP1	0.41381
LCOR	0.0625
SLIT1	0.3085
ARHGAP19	0.076632
FRAT1	0.024308
FRAT2	0.057119
RRP12	0.026838
PGAM1	0.37169
EXOSC1	0.76574
ZDHHC16	0.49777
MMS19	0.31396
UBTD1	0.33258
ANKRD2	0.35156
HOGA1	0.098666
C10orf62	0.027571
MORN4	0.53257
PI4K2A	0.60383
AVPI1	0.83566
MARVELD1	0.78656
ZFYVE27	0.29291
SFRP5	0.3207
GOLGA7B	0.074439
CRTAC1	0.12158
R3HCC1L	0.033929
LOXL4	0.024871
PYROXD2	0.0051856
HPS1	0.1526
HPSE2	0.010486
CNNM1	0.12963
GOT1	0.64269
NKX2-3	0.90154
SLC25A28	0.82169
ENTPD7	0.91794
COX15	0.86915
CUTC	0.4956
ABCC2	0.6989
DNMBP	0.22675
CPN1	0.0027237
ERLIN1	0.0085785
CHUK	6.4148e-6
CWF19L1	2.2614e-6
BLOC1S2	7.5732e-6
PKD2L1	0.0022186
SCD	0.60223
WNT8B	0.95094
SEC31B	0.96072
NDUFB8	0.88203
HIF1AN	0.92723
PAX2	0.086458
SLF2	0.88526
SEMA4G	0.90063
MRPL43	0.98127
TWNK	0.96628
LZTS2	0.91133
PDZD7	0.14662
SFXN3	0.29852
KAZALD1	0.44008
TLX1	0.93425
LBX1	0.092192
BTRC	0.027219
DPCD	0.012721
POLL	0.0044589
FBXW4	0.021894
FGF8	0.061804
NPM3	0.04608
OGA	0.18008
KCNIP2	0.033223
ARMH3	0.04427
HPS6	0.095509
LDB1	0.15967
PPRC1	0.061232
NOLC1	0.045729
ELOVL3	0.24948
PITX3	0.16892
GBF1	0.12887
NFKB2	0.70828
PSD	0.074065
FBXL15	0.58621
CUEDC2	0.39249
C10orf95	0.35346
MFSD13A	0.11786
ACTR1A	0.37142
SUFU	0.011909
TRIM8	0.08822
ARL3	0.0067107
SFXN2	0.029903
WBP1L	0.02096
CYP17A1	0.0014249
BORCS7	2.6012e-4
AS3MT	6.7409e-4
CNNM2	0.0083975
NT5C2	0.004474
RPEL1	0.94769
INA	0.41342
PCGF6	0.32256
TAF5	0.37441
ATP5MK	0.1434
PDCD11	0.28478
CALHM2	0.41863
CALHM1	0.071971
CALHM3	0.09995
NEURL1	0.016326
SH3PXD2A	0.054983
STN1	0.49903
SLK	0.92942
COL17A1	0.80852
SFR1	0.047008
CFAP43	0.018851
GSTO1	0.032749
GSTO2	0.039047
ITPRIP	0.13543
CFAP58	0.1352
SORCS3	2.5372e-4
SORCS1	0.41058
XPNPEP1	4.8029e-7
ADD3	1.6937e-9
MXI1	0.038787
SMNDC1	0.14529
DUSP5	0.17239
SMC3	0.40365
RBM20	0.21365
PDCD4	0.1207
BBIP1	0.085555
SHOC2	0.043525
ADRA2A	0.29848
GPAM	0.78472
TECTB	0.025187
ACSL5	0.0034261
ZDHHC6	3.4981e-4
VTI1A	0.28796
TCF7L2	0.36142
HABP2	0.059738
NRAP	0.23909
CASP7	0.10299
PLEKHS1	0.16397
DCLRE1A	0.06962
NHLRC2	0.23189
ADRB1	0.74896
CCDC186	0.11578
TDRD1	0.30857
VWA2	0.32643
AFAP1L2	0.79353
ABLIM1	0.0017992
FHIP2A	0.030386
TRUB1	0.010291
ATRNL1	0.17705
GFRA1	0.45889
CCDC172	0.78677
PNLIPRP3	0.85796
PNLIP	0.16089
PNLIPRP1	0.72722
PNLIPRP2	0.68076
C10orf82	0.21004
HSPA12A	0.0040327
ENO4	0.11444
SHTN1	0.010376
VAX1	9.9442e-4
KCNK18	0.42218
SLC18A2	0.039338
PDZD8	0.014196
EMX2	0.244
RAB11FIP2	0.57252
FAM204A	0.16604
PRLHR	0.20577
CACUL1	9.8039e-4
NANOS1	0.3843
EIF3A	0.14071
DENND10	0.2735
SFXN4	0.025093
PRDX3	0.8217
GRK5	0.080193
RGS10	0.21857
TIAL1	0.24767
BAG3	0.54449
INPP5F	0.55036
MCMBP	0.26985
SEC23IP	0.39166
PLPP4	0.24593
WDR11	0.25619
FGFR2	0.56382
ATE1	0.029821
NSMCE4A	0.14547
TACC2	0.15133
BTBD16	0.46533
PLEKHA1	0.69194
ARMS2	0.47856
HTRA1	0.31397
DMBT1	0.83179
C10orf120	0.057943
CUZD1	0.86163
FAM24B	0.60308
FAM24A	0.52264
C10orf88	0.58698
PSTK	0.59358
IKZF5	0.35063
ACADSB	0.10739
HMX3	0.6432
HMX2	0.24166
BUB3	0.2161
GPR26	0.12867
CPXM2	0.61622
CHST15	0.069078
OAT	0.89745
NKX1-2	0.61629
LHPP	0.05297
FAM53B	0.28727
EEF1AKMT2	0.070972
ABRAXAS2	0.052875
ZRANB1	0.32287
CTBP2	0.09207
TEX36	0.0092521
EDRF1	0.1696
MMP21	0.0012047
UROS	0.0017354
BCCIP	0.0054313
DHX32	0.0043774
FANK1	0.0040661
ADAM12	0.47271
C10orf90	0.14334
DOCK1	0.068297
INSYN2A	0.21398
NPS	0.61997
FOXI2	0.52109
CLRN3	0.49476
PTPRE	0.04787
MKI67	0.0928
MGMT	0.83784
EBF3	0.0018181
GLRX3	0.9215
TCERG1L	0.23376
PPP2R2D	0.18046
BNIP3	0.23774
JAKMIP3	0.30613
STK32C	0.078941
DPYSL4	0.10753
LRRC27	0.49377
PWWP2B	0.82357
LINC02870	0.11892
INPP5A	0.88545
NKX6-2	0.1416
CFAP46	0.39014
ADGRA1	0.021828
KNDC1	0.1769
UTF1	0.29983
VENTX	0.46849
ADAM8	0.098502
TUBGCP2	0.087313
ZNF511	0.098655
CALY	0.075198
PRAP1	0.5686
FUOM	0.52366
ECHS1	0.68322
PAOX	0.35039
MTG1	0.0089604
SPRN	0.0025349
CYP2E1	0.62259
SYCE1	0.45824
SCGB1C1	0.075879
ODF3	0.29189
BET1L	0.48529
RIC8A	0.39884
SIRT3	0.67637
PSMD13	0.36869
NLRP6	0.75242
PGGHG	0.11979
IFITM5	0.16489
IFITM2	0.50041
IFITM1	0.553
IFITM3	0.52954
B4GALNT4	0.41561
PKP3	0.40814
SIGIRR	0.75957
ANO9	0.99624
PTDSS2	0.98437
RNH1	0.91388
HRAS	0.82855
LRRC56	0.9179
LMNTD2	0.91344
RASSF7	0.88653
PHRF1	0.83743
IRF7	0.49734
CDHR5	0.59204
DRD4	0.50794
DEAF1	0.94687
TMEM80	0.43956
EPS8L2	0.6252
TALDO1	0.5601
GATD1	0.52394
CEND1	0.52402
SLC25A22	0.55908
PANO1	0.48379
PIDD1	0.68499
RPLP2	0.29476
PNPLA2	0.59554
CRACR2B	0.39956
CD151	0.21625
POLR2L	0.13268
TSPAN4	0.16521
CHID1	0.072581
AP2A2	0.1813
MUC6	0.15701
LINC02688	0.3446
MUC2	0.34351
MUC5AC	0.55074
MUC5B	0.3394
TOLLIP	0.25943
BRSK2	0.35157
MOB2	0.611
DUSP8	0.09871
KRTAP5-3	0.26804
KRTAP5-4	0.057608
KRTAP5-5	0.76249
KRTAP5-6	0.82174
IFITM10	0.41792
CTSD	0.022011
SYT8	0.41332
TNNI2	0.94434
LSP1	0.37712
TNNT3	0.86535
MRPL23	0.92874
INS-IGF2	0.56579
IGF2	0.56646
INS	0.47807
TH	0.63559
ASCL2	0.55126
C11orf21	0.69875
TSPAN32	0.8889
CD81	0.62092
TSSC4	0.45981
TRPM5	0.98878
KCNQ1	0.41999
CDKN1C	3.838e-4
SLC22A18AS	0.36641
SLC22A18	0.71385
PHLDA2	0.79479
NAP1L4	0.96902
CARS1	0.9091
OSBPL5	0.42768
MRGPRG	0.01948
MRGPRE	0.69814
ZNF195	0.54171
ART5	0.76695
ART1	0.90887
CHRNA10	0.91558
NUP98	0.88466
PGAP2	0.66695
RHOG	0.76896
STIM1	0.90299
RRM1	0.43048
OR52B4	0.42259
TRIM21	0.25758
OR52K2	0.78277
OR52K1	0.38069
OR52M1	0.58984
C11orf40	0.49735
OR52I2	0.7546
OR52I1	0.12291
TRIM68	0.33361
OR51D1	0.11465
OR51E1	0.15458
OR51E2	0.34229
OR51F1	0.40079
OR52R1	0.25561
OR51F2	0.44235
OR51S1	0.15816
OR51T1	0.6353
OR51A7	0.77616
OR51G2	0.56722
OR51G1	0.63447
OR51A4	0.2604
OR51A2	0.93458
MMP26	0.63737
OR51L1	0.54102
OR52J3	0.53913
OR52E2	0.69117
OR52A5	0.205
OR52A1	0.56916
OR51V1	0.74469
HBB	0.83505
HBD	0.06446
HBG1	0.4873
HBG2	0.50974
HBE1	0.57493
OR51B4	0.46705
OR51B2	0.57855
OR51B5	0.96082
OR51B6	0.030903
OR51M1	0.33479
OR51Q1	0.057749
OR51I1	0.085001
OR51I2	0.70325
OR52D1	0.94359
UBQLN3	0.74582
UBQLNL	0.27769
OLFM5P	0.45922
OR52H1	0.26851
OR52B6	0.2932
TRIM6	0.81891
TRIM6-TRIM34	0.94328
TRIM34	0.86947
TRIM5	0.59958
TRIM22	0.74676
OR52N4	0.64754
OR56B1	0.56045
OR52N5	0.7164
OR52N1	0.51445
OR52N2	0.45811
OR52E6	0.13987
OR52E8	0.46672
OR52E4	0.24843
OR56A3	0.54815
OR56A5	0.59342
OR52L1	0.59945
OR56A4	0.87144
OR56A1	0.7776
OR56B4	0.055957
OR52B2	0.7146
OR52W1	0.74665
C11orf42	0.94287
FHIP1B	0.8274
CNGA4	0.83047
CCKBR	0.24983
CAVIN3	0.31342
SMPD1	0.97065
APBB1	0.19556
HPX	0.77022
TRIM3	0.17827
ARFIP2	0.41678
TIMM10B	0.5463
DNHD1	0.50804
RRP8	0.077235
ILK	0.56756
TAF10	0.28087
TPP1	0.43116
DCHS1	0.34318
MRPL17	0.51936
OR2AG2	0.4259
OR2AG1	0.96196
OR6A2	0.46771
OR10A2	0.76652
OR10A4	0.16853
OR2D2	0.89448
OR2D3	0.43975
ZNF215	0.85856
ZNF214	0.66347
NLRP14	0.84619
RBMXL2	0.39182
SYT9	0.6922
OLFML1	0.61593
PPFIBP2	0.85333
CYB5R2	0.22247
OVCH2	0.47999000000000003
OR5P2	0.18671
OR5P3	0.43509
OR10A6	0.3102
NLRP10	0.21708
EIF3F	0.22282
TUB	0.21305
RIC3	0.6904
LMO1	0.632
STK33	0.1341
TRIM66	0.059548
RPL27A	0.11384
DENND2B	0.41431
AKIP1	0.23139
C11orf16	0.25459
ASCL3	0.39354
TMEM9B	0.3561
NRIP3	0.48206
SCUBE2	0.3321
DENND5A	0.13876
TMEM41B	0.11053
IPO7	0.51757
ZNF143	0.63249
WEE1	0.95482
SWAP70	0.099767
SBF2	0.63511
ADM	0.1105
AMPD3	0.15551
MTRNR2L8	0.025876
RNF141	0.0052913
LYVE1	6.6525e-4
IRAG1	0.001717
CTR9	0.21552
EIF4G2	0.03741
ZBED5	0.042819
GALNT18	0.48442
CSNK2A3	0.99995
USP47	0.023486
DKK3	0.0032558
MICAL2	0.63351
PARVA	0.38149
TEAD1	0.032287
RASSF10	0.093739
BMAL1	1.6673e-6
BTBD10	0.86456
PTH	0.36877
FAR1	0.43344
SPON1	0.52376
RRAS2	0.0016748
COPB1	0.050318
PSMA1	0.015722
PDE3B	5.9708e-4
CYP2R1	2.8211e-4
CALCA	0.0012337
CALCB	0.095711
INSC	0.90369
SOX6	0.54747
C11orf58	0.70752
PLEKHA7	0.095422
RPS13	0.05289
PIK3C2A	0.062983
NUCB2	0.056459
NCR3LG1	0.333
KCNJ11	0.19872
ABCC8	0.0084638
USH1C	0.66072
OTOG	0.021903
MYOD1	0.15299
KCNC1	0.18747
SERGEF	8.4314e-4
TPH1	0.0025851
SAAL1	0.025185
MRGPRX3	0.051568
MRGPRX4	0.49161
SAA4	0.7358
SAA2-SAA4	0.77708
SAA2	0.72776
SAA1	0.044287
HPS5	0.0019784
GTF2H1	0.0090979
LDHA	0.14703
LDHC	0.209
LDHAL6A	0.035796
TSG101	0.20861
UEVLD	0.13366
SPTY2D1	0.54035
TMEM86A	0.57939
IGSF22	0.7899
PTPN5	0.4163
MRGPRX1	0.7367
MRGPRX2	0.49279
ZDHHC13	0.99614
CSRP3	0.3111
E2F8	0.86397
NAV2	0.34302
DBX1	0.76965
HTATIP2	0.44544
PRMT3	0.89627
SLC6A5	0.349
NELL1	0.81265
ANO5	0.36922
SLC17A6	0.28958
FANCF	0.98705
GAS2	0.59074
SVIP	0.3701
CCDC179	0.60734
LUZP2	0.60756
ANO3	0.067745
MUC15	0.35322
SLC5A12	0.66758
FIBIN	0.559
BBOX1	0.85127
CCDC34	0.48268
LGR4	0.88012
LIN7C	0.54488
BDNF	0.032548
KIF18A	0.531
METTL15	0.50262
KCNA4	0.95319
FSHB	0.087761
ARL14EP	0.031736
MPPED2	0.30068
DCDC1	0.047653
DNAJC24	0.10008
IMMP1L	0.024966
ELP4	0.030302
PAX6	0.97278
RCN1	0.5061
WT1	0.68009
EIF3M	0.16922
CCDC73	0.28564
PRRG4	0.30304
QSER1	0.072933
DEPDC7	0.12354
TCP11L1	0.11814
CSTF3	0.26935
HIPK3	0.24089
KIAA1549L	0.1479
C11orf91	0.93533
CD59	0.78638
FBXO3	0.736
LMO2	0.61921
CAPRIN1	0.81602
NAT10	0.89629
ABTB2	0.5724
CAT	0.58311
ELF5	0.65189
EHF	0.047806
APIP	0.53931
PDHX	0.33035
CD44	0.59231
SLC1A2	0.94914
PAMR1	0.085443
FJX1	0.32503
TRIM44	0.80885
LDLRAD3	0.53641
COMMD9	0.35768
PRR5L	0.70824
TRAF6	0.27564
RAG1	0.55433
RAG2	0.94884
IFTAP	0.97331
LRRC4C	0.045217
API5	0.061818
TTC17	0.14443
HSD17B12	0.70807
ALKBH3	0.26689
C11orf96	0.37589
ACCSL	0.094545
ACCS	0.1177
EXT2	0.036178
ALX4	0.021784
CD82	0.090646
TSPAN18	0.33301
TP53I11	0.41256
PRDM11	1.2624e-4
NA	1.7637e-5
SYT13	0.0021166
CHST1	7.3415e-5
SLC35C1	0.0085428
CRY2	0.0024905
MAPK8IP1	0.11876
PEX16	0.049279
LARGE2	0.066322
PHF21A	0.094512
CREB3L1	0.058796
DGKZ	2.4447e-4
MDK	0.011791
CHRM4	0.028564
AMBRA1	1.0383e-4
HARBI1	7.7362e-5
ATG13	1.1118e-4
ARHGAP1	7.3076e-5
ZNF408	0.0020053
F2	0.012128
CKAP5	0.0076627
LRP4	0.043916
CSTPP1	0.019187
ARFGAP2	0.020784
PACSIN3	0.041879
DDB2	0.020229
ACP2	0.058828
NR1H3	0.040908
MADD	0.020401
MYBPC3	0.0038172
SPI1	0.13135
SLC39A13	0.075995
PSMC3	0.10839
RAPSN	0.12534
CELF1	0.0048122
PTPMT1	0.0013052
KBTBD4	0.90511
NDUFS3	0.050657
FAM180B	0.007702
C1QTNF4	0.086495
MTCH2	0.011253
AGBL2	0.029793
FNBP4	0.057434
NUP160	0.056561
PTPRJ	0.0014003
OR4B1	0.080384
OR4X1	0.49014
OR4S1	0.03068
OR4C3	0.7856
OR4A47	0.29554
TRIM49B	0.41947
TRIM64C	0.049164
FOLH1	0.0024132
OR4C13	0.27375
OR4C12	0.23666
OR4A5	0.050038
OR4C46	0.008496
TRIM48	0.05204
OR4A16	0.066926
OR4A15	0.032442
OR4C15	0.022572
OR4C16	0.03742
OR4C11	0.15198
OR4P4	0.1337
OR4S2	0.05621
OR4C6	0.1776
OR5D13	0.43442
OR5D14	0.031018
OR5L1	0.12466000000000001
OR5D18	0.040395
OR5L2	0.2579
OR5D16	0.10149
TRIM51	0.048882
OR5W2	0.12082
OR5I1	0.061483
OR10AG1	0.12266
OR5F1	0.043418
OR5AS1	0.12658
OR8I2	0.10522
OR8H2	0.1589
OR8H3	0.13184
OR8J3	0.36053
OR8K5	0.1094
OR5J2	0.9426
OR5T2	0.21641
OR5T3	0.1488
OR5T1	0.26623
OR8H1	0.19823
OR8K3	0.56266
OR8K1	0.19315
OR8J1	0.33186
OR8U1	0.23694
OR8U3	0.30172
OR5M9	0.14282
OR5M3	0.26805
OR5M11	0.38691
OR5M10	0.25831
OR5M1	0.0068485
OR5AP2	0.57066
OR5AR1	0.19113
OR9G1	0.27582
OR9G4	0.89784
OR5AK2	0.67781
LRRC55	0.933
APLNR	0.95003
TNKS1BP1	0.61217
SSRP1	0.467
P2RX3	0.56859
PRG3	0.75344
PRG2	0.33679
SLC43A3	0.68762
RTN4RL2	0.38541
SLC43A1	0.11107
TIMM10	0.2049
SMTNL1	0.31111
UBE2L6	0.273
SERPING1	0.81932
YPEL4	0.0017935
CLP1	0.054149
ZDHHC5	0.01528
MED19	0.010953
TMX2	0.021958
SELENOH	0.64611
BTBD18	0.082634
CTNND1	0.0019766
OR9Q1	0.24113
OR6Q1	0.14122
OR9I1	0.05506
OR9Q2	0.95629
OR1S2	0.99192
OR1S1	0.98587
OR10Q1	0.37913
OR10W1	0.36714
OR5B17	0.83043
OR5B3	0.80923
OR5B2	0.23771
OR5B12	0.47888
LPXN	0.076733
ZFP91	0.14428
CNTF	0.1095
GLYAT	0.063708
GLYATL2	0.05496
GLYATL1	0.10247
FAM111B	0.96599
FAM111A	0.82189
DTX4	0.052433
MPEG1	0.072234
OR5AN1	0.04824
OR5A2	0.29231
OR5A1	0.13861
OR4D6	0.16832
OR4D10	0.2154
OR4D11	0.471
OR4D9	0.9549
OSBP	0.30731
PATL1	0.26992
OR10V1	0.097608
STX3	0.2333
MRPL16	0.21733
CBLIF	0.34267
TCN1	0.34314
OOSP2	0.91209
MS4A3	0.64639
MS4A2	0.66464
MS4A6A	0.53224
MS4A4E	0.70389
MS4A4A	0.59714
MS4A6E	0.55723
MS4A7	0.38395
MS4A14	0.31946
MS4A5	0.83308
MS4A1	0.85249
MS4A12	0.48452
MS4A13	0.47205
MS4A8	0.019467
MS4A18	0.079681
MS4A15	0.24814
MS4A10	0.89278
CCDC86	0.45507
PTGDR2	0.34882
ZP1	0.99913
PRPF19	0.92061
TMEM109	0.4757
TMEM132A	0.89246
SLC15A3	0.51866
CD6	0.63051
CD5	0.19064
VPS37C	0.067306
PGA3	0.10307
PGA5	0.18286
VWCE	0.72809
DDB1	0.88048
TKFC	0.12899
CYB561A3	0.33953
TMEM138	0.25623
TMEM216	0.17889
CPSF7	0.20675
SDHAF2	0.2337
PPP1R32	0.16018
LRRC10B	0.099176
SYT7	0.25095
DAGLA	7.6059e-5
MYRF	2.3236e-11
TMEM258	3.1907e-10
FEN1	2.3745e-7
FADS1	6.5538e-12
FADS2	1.8897e-12
FADS3	3.2071e-4
RAB3IL1	0.016686
BEST1	0.3919
FTH1	0.017845
INCENP	0.12583
SCGB1D1	0.57008
SCGB2A1	0.025958
SCGB1D2	0.012375
SCGB2A2	0.31074
SCGB1D4	0.46167
ASRGL1	0.84575
SCGB1A1	0.041347
AHNAK	0.11276
EEF1G	0.2677
TUT1	0.12066
MTA2	0.1243
EML3	0.24253
ROM1	0.5972
B3GAT3	0.82358
GANAB	0.095696
INTS5	0.62959
LBHD1	0.49331
CSKMT	0.13523
UQCC3	0.43738
UBXN1	0.9936
LRRN4CL	0.21532
BSCL2	0.22992
GNG3	0.30639
HNRNPUL2	0.15042
TTC9C	0.26616
ZBTB3	0.16316
POLR2G	0.4461
TAF6L	0.19805
TMEM179B	0.66762
TMEM223	0.1838
NXF1	0.13303
STX5	0.11481
WDR74	0.13073
SLC3A2	0.22472
CHRM1	0.027306
SLC22A6	0.44733
SLC22A8	0.11131
SLC22A24	0.31686
SLC22A25	0.022483
SLC22A10	0.047324
SLC22A9	0.047977
PLAAT5	0.60134
LGALS12	0.10653
PLAAT4	0.080734
PLAAT2	0.59328
PLAAT3	0.66331
ATL3	0.44483
RTN3	0.20376
ZFTA	0.45896
SPINDOC	2.9509e-5
MARK2	6.1971e-7
RCOR2	3.9614e-7
NAA40	1.5692e-5
COX8A	1.2569e-4
OTUB1	2.1639e-5
MACROD1	2.6247e-7
FLRT1	4.633e-5
STIP1	0.0034666
FERMT3	0.0019551
TRPT1	2.4182e-7
NUDT22	0.10837
DNAJC4	6.5617e-4
VEGFB	0.0032891
FKBP2	3.1392e-8
PPP1R14B	8.5301e-5
PLCB3	0.013133
BAD	7.0419e-4
GPR137	9.9853e-5
KCNK4	0.68341
CATSPERZ	0.0020012
ESRRA	4.3271e-4
TRMT112	0.53144
PRDX5	0.0012388
CCDC88B	0.0011281
RPS6KA4	0.0045457
SLC22A11	0.53203
SLC22A12	0.0012187
NRXN2	5.9808e-5
RASGRP2	0.44751
PYGM	0.35228
SF1	0.78275
MAP4K2	0.3124
MEN1	0.17458
CDC42BPG	0.15659
EHD1	0.16008
ATG2A	0.032447
PPP2R5B	0.048806
GPHA2	0.5998
MAJIN	0.087813
BATF2	0.16283
ARL2	0.39599
SNX15	0.47021
SAC3D1	0.17242
NAALADL1	0.20953
CDCA5	0.49019
ZFPL1	0.24529
TMEM262	0.14631
VPS51	0.12956
TM7SF2	0.48239
ZNHIT2	0.9911
FAU	0.09894
MRPL49	0.3753
SYVN1	0.044004
SPDYC	0.087566
CAPN1	0.89371
SLC22A20P	0.49826
POLA2	0.28361
CDC42EP2	0.48126
DPF2	0.961
TIGD3	0.41041
SLC25A45	0.61894
FRMD8	0.49206
FAUP4	0.82418
SCYL1	0.98147
LTBP3	0.92575
ZNRD2	0.95854
FAM89B	0.49508
EHBP1L1	0.88654
KCNK7	0.61405
MAP3K11	0.83766
PCNX3	0.29858
SIPA1	0.14374
RELA	0.095888
KAT5	0.1787
RNASEH2C	0.21413
AP5B1	0.40162
OVOL1	0.33929
SNX32	0.071397
CFL1	0.12963
MUS81	0.072793
EFEMP2	0.46136
CTSW	0.078194
FIBP	0.53269
CCDC85B	0.23739
FOSL1	0.44912
C11orf68	0.9356
TSGA10IP	0.029782
SART1	0.037831
EIF1AD	0.0048613
BANF1	0.0071824
CST6	0.01396
CATSPER1	1.9668e-4
GAL3ST3	2.0798e-6
SF3B2	1.9017e-4
PACS1	2.72e-8
KLC2	6.2091e-6
RAB1B	2.0175e-4
CNIH2	1.6565e-6
YIF1A	4.8618e-6
TMEM151A	9.5591e-4
CD248	0.74683
RIN1	5.0621e-4
BRMS1	9.5086e-5
B4GAT1	0.37
SLC29A2	9.5309e-5
NPAS4	0.033713
MRPL11	0.0081223
PELI3	0.0055102
DPP3	0.0026405
BBS1	9.2588e-4
ZDHHC24	0.0021023
ACTN3	1.063e-7
CTSF	1.7614e-5
CCDC87	8.8063e-6
CCS	1.0309e-4
RBM14	0.0067322
RBM14-RBM4	0.0016663
RBM4	5.5859e-5
RBM4B	0.0012609
SPTBN2	4.4793e-7
C11orf80	3.6138e-7
RCE1	0.064963
PC	5.4838e-6
LRFN4	1.432e-5
C11orf86	0.002954
SYT12	0.027723
RHOD	0.0037318
KDM2A	0.23884
GRK2	0.33262
ANKRD13D	0.36487000000000003
SSH3	0.24962
POLD4	0.16151
CLCF1	0.58617
RAD9A	0.49316
PPP1CA	0.43603
TBC1D10C	0.17052
CARNS1	0.28852
RPS6KB2	0.8703
PTPRCAP	0.63503
CORO1B	0.84665
CABP4	0.76648
TMEM134	0.96683
AIP	0.88703
PITPNM1	0.84922
CDK2AP2	0.4304
CABP2	0.62708
GSTP1	0.90974
NDUFV1	0.79126
NUDT8	0.99738
TBX10	0.96679
ACY3	0.97392
ALDH3B2	0.56594
UNC93B1	0.63913
ALDH3B1	0.57197
NDUFS8	0.15955
TCIRG1	0.27821
CHKA	0.078071
KMT5B	0.57387
C11orf24	0.10796
LRP5	0.70571
PPP6R3	0.63859
GAL	0.07053
TESMIN	0.0065887
CPT1A	0.0016195
MRPL21	0.14835
IGHMBP2	0.086226
MRGPRD	0.11669
MRGPRF	0.16216
TPCN2	0.091238
MYEOV	0.58697
CCND1	0.32069
LTO1	0.33591
FGF19	0.3736
FGF4	0.0039194
FGF3	0.53868
ANO1	0.11781
FADD	0.66394
PPFIA1	0.61438
CTTN	0.78202
SHANK2	1.742e-6
DHCR7	0.20531
NADSYN1	0.053375
KRTAP5-7	0.21648
KRTAP5-9	0.72597
KRTAP5-10	0.89175
FAM86C1P	0.87453
ZNF705EP	0.88992
DEFB108B	0.79227
DEFB131B	0.56416
RNF121	0.67621
IL18BP	0.82298
NUMA1	0.75685
LRTOMT	0.82947
LAMTOR1	0.78944
ANAPC15	0.72874
FOLR3	0.79445
FOLR1	0.10763
FOLR2	0.35108
INPPL1	0.19696
PHOX2A	0.20263
CLPB	0.17747
PDE2A	0.071569
ARAP1	0.71739
STARD10	0.57215
ATG16L2	0.71572
FCHSD2	0.23886
P2RY2	0.32253
P2RY6	0.81842
ARHGEF17	0.076889
RELT	0.1333
FAM168A	0.079783
PLEKHB1	0.47244
RAB6A	0.63365
MRPL48	0.73053
COA4	0.6815
PAAF1	0.57669
DNAJB13	0.77223
UCP2	0.68503
UCP3	0.61831
C2CD3	0.028921
PPME1	0.0062909
P4HA3	0.15974
PGM2L1	0.22761
KCNE3	0.41961
LIPT2	0.30447
POLD3	0.29713
CHRDL2	0.95639
RNF169	0.84192
XRRA1	0.9365
SPCS2	0.84258
NEU3	0.4257
OR2AT4	0.978
SLCO2B1	0.31547
TPBGL	0.13357
ARRB1	0.1108
RPS3	0.017989
KLHL35	0.032199
GDPD5	0.077286
SERPINH1	0.61972
MAP6	0.094075
MOGAT2	0.76775
DGAT2	0.7273
UVRAG	0.2233
WNT11	0.38709
THAP12	0.42734
GVQW3	0.43754
EMSY	0.073924
LRRC32	0.074181
TSKU	0.27696
ACER3	0.44458
B3GNT6	0.10054
CAPN5	0.16343
OMP	0.31691
MYO7A	0.19444
GDPD4	0.2961
PAK1	0.11737
AQP11	0.72654
CLNS1A	0.82723
RSF1	0.56865
AAMDC	0.53544
INTS4	0.222
KCTD14	0.0030752
NDUFC2-KCTD14	0.0028116
THRSP	0.010964
NDUFC2	0.0081638
ALG8	0.028538
KCTD21	0.090999
USP35	0.010296
GAB2	0.058627
NARS2	0.22993
