GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
SPTAN1	9	131314837	131395944	96	7	395475	0.012219	0.49513
DYNC2I2	9	131395940	131419129	43	7	382389	0.075066	0.47008
SET	9	131445934	131458675	10	5	388890	-0.18985	0.57529
PKN3	9	131464802	131483199	16	9	373773	-0.74588	0.77213
ZDHHC12	9	131483148	131486451	4	2	312632	1.1477	0.12555
ZER1	9	131492065	131534220	41	7	396072	-0.34634	0.63546
TBC1D13	9	131549510	131572711	74	9	395520	0.74197	0.22905
ENDOG	9	131580779	131584955	9	3	366676	0.56211	0.28702
SPOUT1	9	131581930	131592299	37	6	384252	0.63689	0.2621
KYAT1	9	131595392	131644354	89	9	387833	1.2541	0.1049
LRRC8A	9	131644391	131680318	71	10	388810	1.0457	0.14784
PHYHD1	9	131683174	131704322	36	3	393574	-1.1746	0.87993
NUP188	9	131709972	131769375	57	6	405614	-1.2212	0.889
SH3GLB2	9	131770313	131790604	23	6	387569	-0.85244	0.80302
MIGA2	9	131798899	131834361	28	8	392473	0.71244	0.2381
DOLPP1	9	131843383	131852717	8	3	369210	0.7127	0.23802
CRAT	9	131857073	131873070	21	3	410057	1.3242	0.092712
PTPA	9	131873183	131911225	86	3	390845	1.2212	0.11101
IER5L	9	131937831	131940540	3	1	409314	0.76073	0.22341
LINC02913	9	132083295	132084882	2	1	411332	-0.66299	0.74633
NTMT1	9	132371036	132397879	94	13	328613	-0.49131	0.6884
C9orf50	9	132374504	132383055	28	6	366423	0.45244	0.32548
ASB6	9	132396883	132404496	21	6	364687	-0.20766	0.58225
PRRX2	9	132427920	132484953	210	28	398483	-0.27523	0.60843
PTGES	9	132500615	132515344	63	8	354518	-0.32752	0.62836
TOR1B	9	132565428	132573563	19	4	385852	-0.7326	0.7681
TOR1A	9	132575221	132586441	27	7	343229	-1.4887	0.93171
C9orf78	9	132589564	132597572	46	3	386250	-0.68736	0.75407
USP20	9	132597696	132644121	340	12	388379	-0.48423	0.68589
FNBP1	9	132649458	132805473	486	32	336763	-0.49897	0.6911
GPR107	9	132815985	132902448	279	21	349034	0.53044	0.2979
NCS1	9	132934857	132999583	219	33	401712	0.48959	0.31221
HMCN2	9	133223389	133309510	318	56	393344	-0.10599	0.5422
ASS1	9	133320094	133376661	128	23	392192	0.85883	0.19522
FUBP3	9	133454954	133513739	133	20	376845	1.0163	0.15474
PRDM12	9	133539981	133558384	50	11	400750	-0.18689	0.57413
EXOSC2	9	133569158	133580452	18	8	391858	-1.2666	0.89735
ABL1	9	133588266	133763062	435	34	396729	-0.0060444	0.50241
QRFP	9	133768815	133769225	1	1	413466	0.43027	0.3335
FIBCD1	9	133777825	133814455	148	22	385046	-0.43317	0.66755
LAMC3	9	133884504	133968446	284	37	395157	-0.27749	0.6093
AIF1L	9	133971863	133998539	68	14	393677	1.0505	0.14674
NUP214	9	134000948	134110057	205	15	390765	-0.9784	0.83606
FAM78A	9	134133465	134151906	27	7	381629	-0.3239	0.62699
PLPP7	9	134165069	134184649	60	7	393921	0.78573	0.21601
PRRC2B	9	134305477	134375584	142	11	387527	-0.24826	0.59803
POMT1	9	134378282	134399193	78	5	408597	-1.5789	0.94282
UCK1	9	134399183	134406662	17	5	320412	0.6103	0.27083
RAPGEF1	9	134452157	134615364	397	26	391855	0.62816	0.26495
MED27	9	134735497	134955274	323	29	389518	0.70037	0.24185
NTNG2	9	135037334	135118224	189	28	384528	-0.077682	0.53096
SETX	9	135136827	135232113	365	17	385341	-0.54481	0.70706
TTF1	9	135250935	135282238	65	9	397552	0.087447	0.46516
CFAP77	9	135285430	135448734	478	66	393094	0.78077	0.21747
BARHL1	9	135457993	135465640	14	6	388558	0.68025	0.24817
DDX31	9	135468384	135545788	161	20	402611	0.15496	0.43843
GTF3C4	9	135545728	135565471	64	7	390275	1.4889	0.06826
AK8	9	135600958	135754198	394	32	395116	-0.61721	0.73145
SPACA9	9	135754282	135765419	12	4	375160	-0.084201	0.53355
TSC1	9	135766735	135820094	104	14	392786	-0.47868	0.68392
GFI1B	9	135820888	135867084	178	42	389986	-0.22786	0.59012
GTF3C5	9	135906062	135933890	48	5	388683	0.16463	0.43462
NA	9	135933468	135936777	8	3	383171	0.085097	0.46609
CEL	9	135936741	135947250	5	2	312657	-0.10709	0.54264
RALGDS	9	135973107	136024607	131	17	391301	0.70997	0.23886
GBGT1	9	136028335	136039320	35	9	391873	2.2004	0.013888
NA	9	136062207	136067257	24	2	387347	2.1404	0.016162
OBP2B	9	136080666	136084714	12	5	307327	-1.3932	0.91822
ABO	9	136130563	136150630	189	15	287632	-0.86714	0.80707
SURF6	9	136197543	136203047	12	4	392956	-0.32648	0.62797
MED22	9	136207751	136215011	15	6	402027	-1.6497	0.9505
RPL7A	9	136215069	136218280	9	2	365587	-1.348	0.91116
SURF1	9	136218660	136223361	9	3	410510	-1.5315	0.93717
SURF2	9	136223421	136228041	15	3	405443	-1.3608	0.91321
SURF4	9	136228325	136244820	39	7	392408	-2.6399	0.99585
STKLD1	9	136243284	136271220	87	6	405968	-2.1723	0.98508
REXO4	9	136271182	136283292	55	4	401963	-1.4787	0.93039
ADAMTS13	9	136279459	136324525	149	20	401725	-0.5046	0.69308
CACFD1	9	136325087	136335909	28	8	380877	0.89286	0.18597
SLC2A6	9	136336216	136344276	26	9	387493	0.44526	0.32807
MYMK	9	136379708	136390068	29	9	388582	-1.0684	0.85733
ADAMTSL2	9	136397286	136440641	150	19	398724	-0.52594	0.70054
FAM163B	9	136442141	136474472	134	21	397844	0.73345	0.23164
DBH	9	136501485	136524466	129	26	392424	1.171	0.1208
SARDH	9	136528682	136605077	279	29	404061	1.7695	0.038402
VAV2	9	136627016	136857496	1035	84	389203	-0.049321	0.51967
BRD3	9	136895427	136933655	127	17	389226	3.5903	0.00016513
WDR5	9	137000801	137025094	178	14	393540	0.16381	0.43494
RXRA	9	137218316	137332431	385	33	382910	1.7469	0.040326
COL5A1	9	137533651	137736689	906	79	390582	-0.63614	0.73766
FCN2	9	137772658	137779366	37	8	369568	-0.96654	0.83311
FCN1	9	137797711	137809849	35	4	380585	-1.4948	0.93252
OLFM1	9	137967089	138013030	206	37	391311	2.3827	0.0085942
LINC02907	9	138235095	138238408	13	3	413466	-0.16196	0.56433
PPP1R26	9	138371545	138380739	32	6	383622	1.3724	0.084964
PIERCE1	9	138387026	138391761	17	3	408589	1.1998	0.11511
MRPS2	9	138392477	138396519	18	5	364784	0.28216	0.38891
LCN1	9	138413284	138418386	25	8	351171	0.95104	0.17079
OBP2A	9	138437885	138441815	26	4	373981	-0.40971	0.65899
PAEP	9	138453601	138458622	19	5	408474	-0.71437	0.7625
GLT6D1	9	138515502	138531386	73	11	398470	1.0376	0.14973
LCN9	9	138555168	138562577	34	7	322885	-0.43772	0.66921
SOHLH1	9	138585253	138591374	33	6	384323	-0.88741	0.81257
KCNT1	9	138594031	138684993	337	38	382746	-1.1742	0.87984
CAMSAP1	9	138700333	138799060	145	18	389407	-0.94913	0.82872
NA	9	138727858	138731145	4	2	379269	-0.43454	0.66805
UBAC1	9	138824815	138853226	91	10	370143	0.28553	0.38762
NACC2	9	138898383	138987131	319	47	378932	-1.0635	0.85622
TMEM250	9	139006427	139010731	9	5	283395	1.7837	0.037235
LHX3	9	139088096	139096955	23	7	405726	0.63958	0.26122
QSOX2	9	139098179	139137687	122	19	382999	0.66408	0.25332
NA	9	139144072	139148672	37	8	378720	-3.2142	0.99935
GPSM1	9	139221932	139254057	122	22	395308	3.09	0.0010006
DNLZ	9	139256352	139268111	41	11	404009	2.2076	0.013636
CARD9	9	139258408	139268133	29	8	404114	2.0559	0.019895
SNAPC4	9	139270021	139294655	97	13	387582	1.7429	0.040675
ENTR1	9	139296374	139305054	51	11	395990	1.3446	0.08938
PMPCA	9	139305110	139318213	45	9	392022	0.71792	0.2364
INPP5E	9	139323067	139334305	42	7	392047	1.6867	0.045833
SEC16A	9	139334548	139379297	111	17	387879	2.051	0.020135
C9orf163	9	139377947	139380519	4	2	411407	1.6067	0.054057
NOTCH1	9	139388896	139440238	168	31	388236	-0.33281	0.63036
EGFL7	9	139553308	139567130	38	7	403139	0.88771	0.18735
AGPAT2	9	139567595	139581911	37	10	387649	-0.99552	0.84026
DIPK1B	9	139607024	139619170	43	11	378502	0.72899	0.233
LCN10	9	139632619	139637411	13	2	408390	0.036265	0.48554
LCN6	9	139638469	139642980	9	5	394371	0.14012	0.44428
LCN8	9	139648838	139652995	21	4	368207	0.031476	0.48745
LCN15	9	139654086	139658965	17	3	378080	0.89907	0.18431
TMEM141	9	139685777	139687769	7	3	381526	0.098142	0.46091
CCDC183	9	139690033	139702364	29	6	404226	0.98032	0.16347
RABL6	9	139702374	139735639	42	6	387528	2.0615	0.019627
AJM1	9	139735733	139741884	4	1	350575	3.6518	0.00013023
PHPT1	9	139743256	139745490	4	2	409789	2.9728	0.0014756
MAMDC4	9	139746819	139755251	10	4	380502	3.0301	0.0012224
EDF1	9	139756566	139760788	4	2	356000	2.6846	0.0036304
TRAF2	9	139776341	139821853	108	7	388301	2.4481	0.0071809
FBXW5	9	139834885	139839298	7	3	348929	0.32805	0.37144
C8G	9	139839333	139841426	12	3	331652	0.25394	0.39977
LCN12	9	139844032	139849957	26	6	339444	2.3699	0.0088968
LINC02692	9	139863796	139867332	19	2	351601	1.9634	0.024801
PTGDS	9	139871898	139876194	8	4	345972	0.062819	0.47496
LCNL1	9	139877445	139880210	7	2	316562	1.745	0.040496
PAXX	9	139886870	139888428	1	1	352006	1.3441	0.08946
CLIC3	9	139889060	139892200	5	3	303917	1.0884	0.1382
ABCA2	9	139901686	139923374	41	11	326719	0.2323	0.40815
LINC02908	9	139921916	139931234	21	4	339871	0.49496	0.31032
FUT7	9	139924626	139927292	9	3	346345	-0.12713	0.55058
NPDC1	9	139933909	139941147	13	5	314080	1.1776	0.11947
ENTPD2	9	139942550	139948503	19	8	346088	1.3273	0.092198
SAPCD2	9	139956579	139965028	22	4	334997	1.0548	0.14575
UAP1L1	9	139971944	139978990	9	4	330205	-0.11991	0.54772
MAN1B1	9	139981379	140003639	44	9	338674	0.21121	0.41636
DPP7	9	140004992	140009204	9	4	341509	0.079155	0.46845
GRIN1	9	140033609	140063214	39	8	342431	0.83003	0.20326
LRRC26	9	140063210	140064491	3	2	287148	-0.070978	0.52829
TMEM210	9	140065319	140066496	2	1	310553	1.8444	0.032561
ANAPC2	9	140069236	140083057	27	3	340626	-1.0244	0.84717
SSNA1	9	140083029	140084822	5	1	307265	-0.45567	0.67569
TPRN	9	140086069	140095163	8	2	322678	-0.47304	0.68191
TMEM203	9	140098534	140100090	2	1	340772	-0.95057	0.82909
NDOR1	9	140100119	140113813	35	8	333710	0.13748	0.44533
RNF208	9	140114699	140115775	1	1	339483	0.68967	0.2452
CYSRT1	9	140119086	140120765	3	1	349062	-1.4364	0.92456
RNF224	9	140122018	140124090	5	3	347019	-1.8995	0.97125
SLC34A3	9	140125209	140131006	17	7	296820	0.1923	0.42375
TUBB4B	9	140135711	140138159	2	1	331592	-1.7453	0.95954
FAM166A	9	140138037	140142222	7	3	306326	-0.0062534	0.50249
STPG3	9	140145713	140147935	5	2	302213	-0.84946	0.80219
NELFB	9	140149759	140168000	51	5	331608	-1.2725	0.89841
TOR4A	9	140172280	140177093	5	2	349880	-1.0708	0.85786
NRARP	9	140194083	140196703	3	2	315668	0.45076	0.32608
EXD3	9	140201346	140317714	279	49	327068	1.3837	0.083229
NOXA1	9	140317847	140328858	29	5	341210	1.3351	0.090914
ENTPD8	9	140328816	140335901	14	6	341437	0.98641	0.16197
NSMF	9	140342022	140353808	14	6	316379	1.3082	0.095397
PNPLA7	9	140354404	140445021	151	39	323827	1.7403	0.040905
DPH7	9	140449354	140473387	33	8	320100	1.2836	0.099643
ZMYND19	9	140476531	140484937	13	3	348518	0.53548	0.29616
ARRDC1	9	140500092	140509812	17	3	351318	2.053	0.020034
EHMT1	9	140513444	140730579	463	31	331971	1.0487	0.14716
CACNA1B	9	140772241	141019076	375	29	323612	1.8799	0.030064
TUBB8	10	92828	95178	5	2	406538	1.2041	0.11428
ZMYND11	10	180405	300577	198	20	389539	3.8054	7.0788e-05
DIP2C	10	320130	735621	894	47	389428	1.8669	0.030961
LARP4B	10	852854	977645	273	13	391371	1.2036	0.11438
GTPBP4	10	1034349	1063708	82	11	394366	-0.2027	0.58031
IDI2	10	1064847	1071799	31	8	406184	-0.50695	0.6939
IDI1	10	1085963	1095061	20	6	401763	0.88829	0.18719
WDR37	10	1095423	1178237	238	29	394200	-0.078688	0.53136
ADARB2	10	1223253	1779670	2213	182	391923	1.3688	0.085536
PFKP-DT	10	3107616	3109573	15	2	398729	-0.43506	0.66824
PFKP	10	3109667	3178997	468	62	394922	-0.40361	0.65675
PITRM1	10	3179919	3215033	166	18	398849	-1.2599	0.89615
KLF6	10	3818188	3827473	23	10	381563	-2.5614	0.99479
AKR1E2	10	4868369	4890254	217	9	402030	0.16899	0.4329
AKR1C1	10	5005454	5020158	47	10	391359	0.015237	0.49392
AKR1C2	10	5029967	5060225	131	21	398478	0.46781	0.31996
AKR1C3	10	5090958	5149878	305	36	402291	0.66298	0.25367
AKR1C4	10	5238798	5260910	114	10	400437	-1.001	0.84159
UCN3	10	5406976	5416169	29	4	409503	0.50113	0.30814
TUBAL3	10	5435061	5446793	38	5	403141	-0.73627	0.76922
NET1	10	5454514	5501019	86	8	396685	-0.68529	0.75342
CALML5	10	5540658	5541533	3	1	413466	0.081875	0.46737
CALML3	10	5566924	5568231	5	2	412477	0.45936	0.32299
ASB13	10	5680820	5708558	139	33	381383	0.14273	0.44325
TASOR2	10	5726801	5807742	167	19	393154	-0.46168	0.67785
GDI2	10	5807186	5855512	124	18	348112	-0.23051	0.59115
ANKRD16	10	5903593	5931860	125	15	395929	2.6646	0.0038538
FBH1	10	5931535	5979558	161	18	392300	2.5923	0.0047672
IL15RA	10	5994334	6020150	111	24	393934	-0.52965	0.70182
IL2RA	10	6052657	6104333	224	39	391951	-1.3484	0.91123
RBM17	10	6130949	6159422	83	18	385451	1.0185	0.15422
PFKFB3	10	6186843	6277508	369	82	395037	-0.99738	0.84071
PRKCQ	10	6435558	6622254	543	53	389906	1.48	0.069437
SFMBT2	10	7200586	7453448	907	66	394016	-0.039051	0.51558
ITIH5	10	7601232	7708961	441	58	315470	0.88114	0.18912
ITIH2	10	7745236	7791483	177	25	394760	0.38034	0.35185
KIN	10	7792925	7829990	121	17	402501	2.1971	0.014006
ATP5F1C	10	7830093	7849764	52	7	402043	2.9423	0.0016287
TAF3	10	7860467	8057016	583	34	386777	2.6242	0.0043428
GATA3	10	8087294	8117164	105	15	398998	0.80445	0.21057
CELF2	10	10838851	11378674	1681	127	393368	2.3254	0.010025
USP6NL	10	11502509	11653679	344	23	394625	1.8237	0.034101
ECHDC3	10	11784356	11806065	70	10	393211	-0.93669	0.82554
PROSER2	10	11865295	11914276	144	23	393544	-0.07037	0.52805
UPF2	10	11962021	12085169	392	18	400860	0.53082	0.29777
DHTKD1	10	12110916	12165227	156	16	398602	0.35902	0.35979
SEC61A2	10	12171640	12211957	122	9	404116	1.9532	0.025399
NUDT5	10	12209573	12238143	62	15	400807	2.594	0.0047438
CDC123	10	12237961	12292589	137	17	384859	3.1589	0.00079188
CAMK1D	10	12391583	12871735	1689	167	397471	1.5579	0.059625
CCDC3	10	12938625	13141762	898	84	399859	2.3431	0.0095628
OPTN	10	13141425	13180291	105	20	356823	-1.0717	0.85807
MCM10	10	13203554	13253104	169	33	393287	-0.616	0.73105
UCMA	10	13263771	13276331	60	12	398893	0.49219	0.31129
PHYH	10	13319796	13342133	82	13	403603	-1.4135	0.92125
SEPHS1	10	13359428	13390298	106	12	389215	-0.61989	0.73233
BEND7	10	13480484	13570587	276	19	395569	-0.12506	0.54976
PRPF18	10	13628939	13672868	106	17	394158	-1.1516	0.87526
FRMD4A	10	13685706	14372866	2741	210	392460	0.95698	0.16929
FAM107B	10	14560556	14816896	990	90	400485	0.2857	0.38756
CDNF	10	14861251	14879983	34	10	384814	-0.89077	0.81347
HSPA14	10	14880159	14913740	42	8	387622	-0.64829	0.7416
SUV39H2	10	14920782	14946314	43	13	383687	-1.1174	0.86808
DCLRE1C	10	14948870	14996106	117	23	390541	-0.4945	0.68952
MEIG1	10	14996324	15014856	96	5	381488	0.87341	0.19122
ACBD7	10	15057071	15130783	339	37	399858	-1.4666	0.92876
OLAH	10	15085895	15115851	96	18	399465	-1.9399	0.97381
RPP38-DT	10	15137384	15139318	6	3	376050	-1.3717	0.91492
RPP38	10	15139179	15146256	27	6	406931	-1.1409	0.87305
NMT2	10	15147771	15210703	228	31	376209	-0.85127	0.80269
FAM171A1	10	15253642	15413058	555	44	396301	3.3945	0.00034371
ITGA8	10	15557711	15762328	542	36	398823	0.0052992	0.49789
MINDY3	10	15820173	15902519	100	15	397055	0.95164	0.17064
PTER	10	16478942	16555744	279	19	400085	1.0297	0.15158
C1QL3	10	16555742	16564004	33	7	398865	2.0256	0.021401
RSU1	10	16632615	16859509	745	76	397011	0.73869	0.23005
CUBN	10	16865965	17171816	1167	80	397061	-0.21206	0.58397
TRDMT1	10	17179828	17244093	217	10	403901	0.4048	0.34281
VIM	10	17269934	17279592	16	5	364705	2.6578	0.003933
ST8SIA6	10	17361282	17496408	696	34	396503	3.7897	7.5405e-05
HACD1	10	17631031	17659383	101	16	399796	1.8188	0.034469
STAM	10	17686124	17758823	319	17	404748	-0.16821	0.56679
TMEM236	10	17794260	17842866	4	2	266112	-1.4998	0.93316
MRC1	10	18098332	18200091	10	5	258690	0.0046197	0.49816
SLC39A12	10	18240768	18332221	358	38	403342	0.9974	0.15929
CACNB2	10	18429373	18830688	1491	109	399537	5.5592	1.3551e-08
NSUN6	10	18834264	18948180	403	18	394975	1.7737	0.038056
ARL5B	10	18948264	18970568	65	12	399504	1.5112	0.065366
MALRD1	10	19337700	20023407	2775	99	387236	1.6052	0.054221
PLXDC2	10	20105118	20575199	1903	88	402964	0.48789	0.31281
NEBL	10	21068900	21463116	940	58	399026	1.9152	0.027734
NA	10	21414692	21435488	28	8	372377	2.1977	0.013984
MIR1915HG	10	21783421	21786213	7	3	392813	2.43	0.0075487
SKIDA1	10	21802407	21814611	9	4	385499	2.129	0.016629
MLLT10	10	21813540	22032559	190	29	373931	3.2056	0.00067391
DNAJC1	10	22045477	22292679	387	23	371888	1.0587	0.14488
EBLN1	10	22497743	22498912	4	2	404888	1.5931	0.055565
COMMD3	10	22605312	22609246	1	1	126257	-1.9173	0.9724
COMMD3-BMI1	10	22605312	22620414	5	3	351046	2.3417	0.0095979
BMI1	10	22610139	22620414	3	1	405800	0.80929	0.20917
SPAG6	10	22634345	22706539	71	7	229565	0.067755	0.47299
PIP4K2A	10	22823766	23003503	522	26	381453	0.5419	0.29394
ARMC3	10	23216954	23327452	263	21	402080	2.2127	0.01346
MSRB2	10	23384427	23410942	64	11	392647	0.8145	0.20768
PTF1A	10	23481460	23483181	3	1	413171	1.0155	0.15493
C10orf67	10	23605520	23633772	52	8	384474	-0.86458	0.80636
OTUD1	10	23728198	23731310	2	1	386803	0.47326	0.31801
KIAA1217	10	23983675	24836772	2334	136	390936	-1.0843	0.86087
ARHGAP21	10	24872538	25012597	174	18	386337	-0.30537	0.61996
PRTFDC1	10	25137536	25242680	348	33	387113	0.82437	0.20486
ENKUR	10	25270908	25351208	145	10	397470	-1.2528	0.89486
THNSL1	10	25305508	25315593	25	4	377881	-2.5348	0.99437
GPR158	10	25464290	25891158	1573	54	394968	2.428	0.0075912
MYO3A	10	26223002	26501465	1153	23	404463	1.2217	0.11092
GAD2	10	26505236	26593491	202	13	399273	1.117	0.13201
APBB1IP	10	26727253	26856732	418	48	397755	1.2146	0.11226
PDSS1	10	26986353	27035727	147	17	400011	-0.054484	0.52173
ABI1	10	27035525	27150016	340	19	405755	0.41327	0.33971
ANKRD26	10	27284054	27389427	351	19	403532	-0.22015	0.58712
YME1L1	10	27399040	27443349	156	13	405396	0.17092	0.43214
MASTL	10	27443753	27475848	115	12	403053	0.25843	0.39804
ACBD5	10	27484143	27531068	280	12	402885	0.60584	0.27231
ODAD2P1	10	27555336	27580347	109	12	397158	1.1863	0.11776
PTCHD3	10	27687117	27703297	89	10	398301	0.28751	0.38686
RAB18	10	27793103	27831166	47	8	395492	-1.36	0.91309
MKX	10	27961803	28034778	157	18	393517	-1.2006	0.88505
ODAD2	10	28101095	28287977	414	20	402807	0.13107	0.44786
MPP7	10	28339922	28591953	875	34	400518	-0.095394	0.538
WAC	10	28821355	28912041	163	16	399517	3.4542	0.00027593
BAMBI	10	28966424	28971868	8	3	387302	2.1216	0.016936
C10orf126	10	29135337	29170827	162	16	403262	1.5357	0.062301
LYZL1	10	29577980	29607158	189	23	397024	0.60068	0.27403
SVIL	10	29746274	30025864	1074	73	405546	0.57002	0.28433
JCAD	10	30301729	30348488	102	17	402932	1.0564	0.1454
LOC101929256	10	30392875	30399829	14	3	399061	0.72577	0.23399
MTPAP	10	30598730	30638267	79	11	396347	-0.50777	0.69419
MAP3K8	10	30722950	30750762	51	7	369401	0.40546	0.34257
LYZL2	10	30900708	30918647	91	13	409865	0.13061	0.44804
ZNF438	10	31133563	31320866	508	18	405242	-0.9795	0.83633
ZEB1	10	31607825	31818742	227	13	392967	-0.74182	0.7709
LOC100505502	10	31651728	31653006	1	1	413256	-0.88938	0.8131
ARHGAP12	10	32094326	32217804	202	16	402398	0.26694	0.39476
KIF5B	10	32297938	32345371	85	9	388863	0.93584	0.17468
EPC1	10	32556644	32667726	266	14	394475	0.73026	0.23261
CCDC7	10	32735057	33171805	1479	28	391758	-1.5779	0.94271
ITGB1	10	33189246	33247293	148	20	395909	-1.3656	0.91397
NRP1	10	33466419	33623833	565	50	401010	-0.90189	0.81644
PARD3	10	34398488	35104253	1566	58	397913	-0.058329	0.52326
CUL2	10	35297479	35379570	177	9	403733	2.0836	0.018597
CREM	10	35415769	35501886	172	8	393441	1.9765	0.02405
CCNY	10	35535953	35860848	458	23	382767	0.3432	0.36573
GJD4	10	35894338	35897863	14	5	391130	-2.5046	0.99387
FZD8	10	35927177	35930362	2	1	405196	-1.5477	0.93916
ANKRD30A	10	37414785	37521495	147	23	388903	-0.20959	0.583
MTRNR2L7	10	37890366	37891859	9	3	374451	0.21479	0.41496
ZNF248	10	38065454	38147012	245	14	388871	-0.266	0.60488
ZNF25	10	38238500	38265584	69	10	404421	0.32911	0.37104
ZNF33A	10	38299578	38353946	143	14	398980	-0.1286	0.55116
ZNF37A	10	38383264	38412280	99	8	403854	0.41487	0.33912
LOC101929373	10	42737971	42772290	28	6	373765	-0.92715	0.82308
ZNF33B	10	43084532	43134016	104	11	395523	-0.46353	0.67851
BMS1	10	43277954	43330385	137	13	401452	1.4559	0.072711
RET	10	43572517	43625799	198	21	398670	2.3595	0.0091506
CSGALNACT2	10	43633893	43680756	104	12	407986	0.077577	0.46908
RASGEF1A	10	43689983	43762367	224	23	394356	0.91952	0.17891
FXYD4	10	43867092	43871783	9	3	410536	0.29788	0.3829
HNRNPF	10	43881065	43904696	68	12	397007	1.3799	0.083815
ZNF239	10	44051792	44070066	43	5	395885	0.022141	0.49117
ZNF485	10	44101855	44113352	47	9	403682	-0.61023	0.72914
ZNF32	10	44139307	44144326	15	3	397315	0.12536	0.45012
LINC02881	10	44788198	44790097	6	3	368433	-0.74854	0.77293
CXCL12	10	44865601	44880545	66	11	404974	2.134	0.01642
TMEM72	10	45406764	45430642	62	8	411111	-1.2078	0.88643
RASSF4	10	45455183	45491337	95	16	372004	-0.30015	0.61797
DEPP1	10	45471709	45474330	7	3	378301	-0.857	0.80428
ZNF22-AS1	10	45493146	45496470	4	2	412412	-0.48196	0.68508
ZNF22	10	45496273	45500777	14	4	411511	-0.28756	0.61316
OR13A1	10	45798102	45811056	37	3	403541	0.62382	0.26637
ALOX5	10	45869624	45941569	208	24	396072	0.029546	0.48821
MARCHF8	10	45950033	46090354	449	13	397802	2.0262	0.021373
ZFAND4	10	46111039	46168251	166	9	398685	1.4118	0.079001
WASHC2C	10	46222648	46288412	20	3	378678	1.4626	0.07179
SYT15	10	46955444	46971400	3	2	149281	-0.67312	0.74957
GPRIN2	10	46993003	47005654	1	1	351138	-0.40565	0.6575
NPY4R	10	47083534	47088320	7	2	352863	-1.0408	0.85101
ANTXRL	10	47658233	47701443	170	21	399842	-0.49125	0.68838
ZNF488	10	48355029	48373866	34	10	230723	-1.1411	0.87309
RBP3	10	48381487	48390991	12	5	223457	-0.60029	0.72584
GDF2	10	48413092	48416853	5	2	218809	-1.0017	0.84174
GDF10	10	48425785	48439138	36	9	243949	0.089239	0.46445
FRMPD2	10	49364602	49482941	165	15	405716	-0.14938	0.55937
MAPK8	10	49514682	49647403	270	19	395692	-0.18547	0.57357
ARHGAP22	10	49654068	49864310	708	52	399438	1.217	0.1118
WDFY4	10	49892907	50191001	989	76	391846	1.6193	0.052689
LRRC18	10	50117528	50147980	146	23	362482	1.6472	0.049756
VSTM4	10	50222333	50323559	332	17	398156	1.3693	0.085452
FAM170B	10	50339199	50342065	15	4	373869	1.8035	0.035657
TMEM273	10	50363890	50396640	128	24	378325	0.23758	0.4061
C10orf71	10	50505118	50535537	92	16	396502	-0.36319	0.64177
DRGX	10	50574161	50604062	57	7	403061	0.0013653	0.49946
ERCC6	10	50662526	50747169	171	21	403750	1.0546	0.1458
PGBD3	10	50723151	50732327	21	7	389318	1.5444	0.06124
NA	10	50723151	50747584	71	14	401345	1.2105	0.11305
CHAT	10	50817141	50873150	155	28	398579	0.91351	0.18049
SLC18A3	10	50818347	50820766	4	2	409060	2.0767	0.018916
C10orf53	10	50887684	50916956	90	9	403969	0.31994	0.37451
OGDHL	10	50942687	50970425	80	11	395402	-0.7892	0.785
PARG	10	51026325	51371346	92	11	391257	0.80918	0.2092
MSMB	10	51549553	51562517	30	5	226487	2.3419	0.0095928
NCOA4	10	51565108	51590734	29	7	256800	1.1992	0.11523
TIMM23	10	51592080	51623386	7	3	266127	1.0836	0.13927
AGAP6	10	51732867	51770259	17	5	356251	-1.0355	0.84979
WASHC2A	10	51827610	51893269	9	3	403098	-0.22873	0.59046
ASAH2	10	51947000	52008370	51	6	407754	1.4403	0.07489
SGMS1	10	52065345	52383737	778	34	399310	1.053	0.14618
ASAH2B	10	52499688	52516948	19	4	398020	1.3992	0.080883
A1CF	10	52559169	52645435	119	21	399894	2.5361	0.0056051
PRKG1	10	52750911	54058110	4083	209	397245	3.5376	0.00020189
CSTF2T	10	53455246	53459355	10	2	393739	2.0198	0.021704
DKK1	10	54074041	54077417	7	2	413017	-0.81977	0.79383
MBL2	10	54525140	54532578	38	9	403503	1.4766	0.069891
PCDH15	10	55562531	56561051	3803	111	396370	-0.58085	0.71933
MTRNR2L5	10	57358750	57360488	6	3	392967	-0.7062	0.75997
ZWINT	10	58117016	58121063	7	3	411606	1.1892	0.11718
IPMK	10	59951278	60027694	276	8	379859	-0.19492	0.57727
CISD1	10	60028862	60050752	59	6	392359	-0.26793	0.60562
UBE2D1	10	60094739	60130513	68	12	338787	1.3496	0.088578
TFAM	10	60144903	60158990	44	10	363046	0.80327	0.21091
BICC1	10	60272774	60591194	646	39	395211	-0.29989	0.61787
PHYHIPL	10	60936348	61007815	96	8	401082	2.544	0.0054802
FAM13C	10	61005889	61122661	259	24	400795	2.058	0.019793
SLC16A9	10	61410522	61469649	156	22	389951	-0.58314	0.7201
MRLN	10	61496748	61513203	43	9	379321	-0.49175	0.68855
CCDC6	10	61548505	61666414	387	23	400541	2.185	0.014446
ANK3	10	61786056	62493284	2095	80	396467	4.5689	2.4517e-06
CDK1	10	62538089	62554610	54	7	404621	-0.09913	0.53948
