GENEID	P
RP11-290F5.1	0.543939227
AC003973.6	0.543939227
AP003354.1	0.543948487
OXNAD1	0.543967455
CAB39	0.54404614
FMNL1	0.54404614
RPL12P44	0.54404614
RPL12P37	0.54404614
RP11-884K10.6	0.54404614
AC004158.2	0.544053008
TMEM67	0.544110543
NUDT19P5	0.544124996
ST13P4	0.544274028
RP11-685N10.1	0.544345072
COG5	0.544422233
MATN1	0.544492954
MIR30E	0.544492954
FAM57B	0.544511792
PTRH1	0.544511792
SLC25A15P2	0.544511792
AC087793.1	0.544511792
RP5-1074L1.4	0.544511792
DDX6	0.544536162
AC090519.4	0.544588165
VN1R96P	0.544588165
OR6L1P	0.544588165
PKD1P5	0.544638517
RBM44	0.544730837
CTA-221G9.7	0.544777976
CTD-2116N17.1	0.544857074
CTC-525D6.5	0.544857074
MIOX	0.544874576
AC006116.13	0.545163236
SH3BP4	0.545165166
RP11-55C6.1	0.54517173
TMEM255A	0.54517818
IL33	0.54517818
RSL24D1	0.54517818
AL672183.2	0.54517818
CTC-325J23.3	0.54517818
RNA5SP135	0.54517818
DYNLRB2	0.545240674
RP1-261D10.1	0.545240674
PDE7A	0.545384031
ZNF347	0.545403461
RNA5SP197	0.545580933
CTBP1	0.545666066
RP11-257I14.1	0.545666066
GAPDH	0.545709778
UBE2D3P3	0.545709778
MYCBPAP	0.546001702
SLC25A21	0.546034584
THEM5	0.546034584
NKAPP1	0.546034584
RN7SL76P	0.546034584
KARSP1	0.546096943
AC114752.2	0.54609713
CETN3	0.546098349
AP003039.3	0.546098349
RP11-1277A3.2	0.546098349
RNU6-977P	0.546098349
RP11-749H20.3	0.546098349
AP000240.9	0.546098349
FAM65C	0.546131591
CTB-161M19.1	0.546138814
LNX1	0.546162767
MAPRE3	0.546162767
FGF12	0.546162767
OR13C9	0.546162767
RP11-386I14.3	0.546162767
SNAP47-AS1	0.546162767
CTD-3105H18.14	0.546162767
AR	0.546350351
RN7SL333P	0.546462399
RNU6-469P	0.546462399
RP11-539G18.1	0.546647058
TVP23CP2	0.546657458
CDC42P1	0.546667178
AC108218.1	0.546667178
RP11-647O20.1	0.546667178
RP11-496H1.2	0.546844229
RPS3AP41	0.546884894
CTD-2410N18.1	0.546884894
RP11-443B7.1	0.547158312
USP17L14P	0.547158312
CENPM	0.547231618
RP11-93I21.3	0.547248138
AC140061.9	0.54725988
RNU6ATAC32P	0.547289041
LRFN5	0.547342102
ZNF382	0.547352532
RNU6-579P	0.547368996
AC013268.5	0.547386838
SNAPIN	0.547387327
CEBPA-AS1	0.547396988
CHMP5	0.547656193
SPON1	0.547656193
RPL36AP15	0.547656193
C11orf80	0.547685424
RP11-455G16.1	0.547708031
TEX14	0.547947376
PPP1R2P2	0.547975031
SNORD114-23	0.54799508
RP11-327J17.1	0.54799508
CTA-29F11.1	0.54799508
RP11-591L14.1	0.548004761
GPM6A	0.548059323
XX-C2158C6.2	0.548059323
RN7SL144P	0.548059323
RP4-536B24.3	0.548105439
RP11-25B7.1	0.548170298
RP11-397E7.4	0.548170298
CHURC1	0.548170298
HIST1H4H	0.548187532
H19	0.548246318
LONP1	0.548263639
RP13-455A7.1	0.548263639
CCDC171	0.54827916
HINT2	0.548579055
KIAA1429	0.54858659
RP1-101K10.6	0.548604531
NBR1	0.548626185
AC009365.4	0.548637699
RP11-720L2.4	0.548702392
NSFL1C	0.548728711
RP11-332H18.5	0.548741833
EHD4	0.549040689
RP11-558A11.1	0.549040689
AC068490.2	0.54904748
RNU6-963P	0.549083771
RP11-266K22.2	0.549236031
DVL1	0.549281878
CTB-13F3.1	0.549281878
NHS	0.549316015
AOC1	0.549368207
CRAT	0.549368207
TUB	0.549368207
RP11-165H23.1	0.549368207
NELL1	0.5494301
RP11-380M21.4	0.549458296
RPL7AP31	0.549561343
RP11-411B10.8	0.549561343
SRSF7	0.549573245
TTC40	0.549653378
USP36	0.549670853
ZSCAN23	0.54984051
RP11-692C24.1	0.54984051
DHX35	0.549982072
MORF4L1P5	0.549982072
ZNRF2P3	0.549982072
CTC-235G5.3	0.549982072
AC016629.3	0.549982072
RNU6-581P	0.550177863
ASB11	0.550257795
INHBC	0.550307604
PHEX-AS1	0.550315803
APOO	0.550329194
PIGA	0.55038668
RP11-196E1.3	0.55038668
DDX3Y	0.550499498
RP11-254I22.2	0.550605967
AC099537.1	0.550615715
RP11-190G13.4	0.550644478
RP11-473M20.5	0.550734914
SPOCK2	0.55074103
PEX2	0.55074103
MIR1280	0.55074103
EFNB3	0.550757125
EEF1GP7	0.550783385
RP11-312B18.1	0.550783385
ATP5O	0.550851445
PPP1R12A	0.551029115
ADAT3	0.551029115
AC091729.8	0.551044137
SNORA68	0.551104355
RP11-436I9.6	0.551104355
ZXDB	0.551193391
CSMD2	0.551236361
GPR1	0.551314654
C7orf72	0.551502887
CRYBA4	0.551502887
RP11-366L20.2	0.551502887
RP1-20B11.2	0.551502887
AC083900.1	0.551607432
RP11-567N4.2	0.551607432
CTC-232P5.1	0.551607432
CTC-503J8.4	0.551607432
CTD-2006C1.2	0.551631452
CTNS	0.551768265
LINC00365	0.551815425
RP11-566K19.8	0.551815425
WNT9B	0.551823469
CHCHD2	0.551973568
RN7SL220P	0.552051576
CTD-3074O7.12	0.552051847
RNFT2	0.552065941
ZC3H18	0.552065941
AC016700.3	0.552065941
MIR320C2	0.552090985
CDC73	0.552124364
ZFPM1	0.552124364
TTC25	0.552135805
AC006160.5	0.552175105
RP11-261C10.4	0.552225598
RP11-421L21.3	0.552225598
LA16c-395F10.2	0.552244663
AP000807.1	0.552306395
RP11-467K18.2	0.552397852
FUT10	0.552483242
RP11-453E2.2	0.552483242
TRIM65	0.552550264
CTC-365E16.1	0.552602107
RP11-925D8.6	0.55260331
RP11-50B3.4	0.552615403
EIF3I	0.552627485
RASA4	0.552627485
CTD-2015A6.2	0.552677847
RP11-46A10.5	0.552679957
RP11-362L22.1	0.552679957
OPN1SW	0.552748624
GAPDHP32	0.553044515
ZNF319	0.553044519
HIST1H4C	0.553050619
RP11-383J24.1	0.553050619
RP11-16C1.1	0.553050619
SETD7	0.553085421
SYNGR2	0.553244152
FOXF2	0.553410658
UBA3	0.553410658
GPX4	0.553410658
RP13-81N3.2	0.553451754
ZNF34	0.55354504
APOBEC3D	0.55354504
EPB41L5	0.553552613
ARHGEF3-AS1	0.553552613
RP11-68L18.2	0.553552613
HMGB4	0.553598536
CTD-2653B5.1	0.553599483
TMEM120A	0.553619516
JAGN1	0.553774268
PHF6	0.553831769
ATP5G2P3	0.553831769
RP5-943J3.1	0.553831769
PRKRIRP9	0.553831769
RP5-1139B12.2	0.553831769
RP3-508I15.14	0.553895595
SLC26A10	0.553901629
RP11-293K19.1	0.554110952
DDO	0.554114688
RP11-480C22.1	0.554114688
TMEM110	0.554225441
RNA5SP280	0.554234079
RP11-187O7.3	0.554241637
RSBN1L-AS1	0.554255998
MCM7	0.554269277
KRT8P1	0.554269277
RP11-473M20.14	0.554269277
RP11-681L4.1	0.554406226
SPATA1	0.554441399
RNU6-874P	0.554486011
RNU7-95P	0.554486011
RP11-158M2.6	0.554486011
IL9	0.554501306
RP11-506K6.4	0.55459716
TAGLN	0.554722423
MIR4522	0.554818667
AC079305.8	0.554841642
ATP5J	0.554860808
RP11-466F5.8	0.554945282
MIR3144	0.554945282
SUDS3	0.554993858
MAPK1IP1L	0.554993858
RNU7-170P	0.554993858
ASB14	0.554993858
RPS26P52	0.554993858
AC009951.1	0.555002774
APOLD1	0.555002774
P2RX2	0.555002774
HMGB3P11	0.555185918
MIR151A	0.55520173
RP11-138I1.2	0.55520173
ZNF649	0.555242772
CTD-2325A15.3	0.555244505
RN7SL8P	0.555277835
UCHL1	0.555462436
LINC01066	0.555462436
SLC2A2	0.555490143
ZNF276	0.555496958
TNFSF10	0.555511027
GSTZ1	0.55572125000000006
RP11-37O16.6	0.555786196
ACTBP13	0.555930051
COQ10A	0.555942231
AP1B1	0.555943623
NPTN	0.555943623
CTB-13H5.1	0.555989365
PRICKLE2	0.555992178
RP11-513M16.8	0.555992178
NUDT21	0.556004084
RP11-775C24.3	0.556004084
FOXJ2	0.556110467
CTXN3	0.556110467
SNORA49	0.556110467
RP3-466I7.1	0.556110467
RP4-686C3.7	0.556110467
RNA5SP159	0.556110467
RP11-115H15.1	0.556110467
RP11-670E13.2	0.556110467
ZNF345	0.556112623
RNF144A	0.556122788
OR13D1	0.556177039
AC004947.2	0.556233308
RP11-841C19.1	0.556233308
ZNF663P	0.556255058
TUSC7	0.556263479
RP1-90G24.6	0.556279907
RP1-45I4.2	0.556280628
AC090505.6	0.556280628
RN7SL411P	0.556280628
NRM	0.556308112
LEO1	0.556308112
EEF1A1P14	0.556308112
PDXDC2P	0.556367184
RP11-500G10.4	0.556458563
ZXDC	0.556471302
C12orf23	0.556471302
RBPMS2	0.556471302
SNORD114-20	0.556471302
RP11-461G12.2	0.556471302
PRPF6	0.556489797
UTY	0.556531172
RASA3	0.556531172
RP11-243J18.2	0.556531172
RP11-599B13.7	0.556556714
RARS	0.556596764
CLK3	0.556604925
RNU6-479P	0.55666634
EXOC5P1	0.556776858
TTF2	0.556796029
PRRT2	0.556796029
RP11-291L19.1	0.556796029
RAMP2	0.556823825
RPS3AP44	0.556858663
RSPH3	0.557032249
CPEB2	0.557032249
OR7E100P	0.557032249
RP11-365D9.1	0.557044156
CTD-2339F6.1	0.557044156
CAP2P1	0.557044156
RN7SL804P	0.557044156
RP11-377K22.3	0.557141019
SRSF1	0.55718091300000006
AC096568.3	0.55718091300000006
AC078883.3	0.55718091300000006
RNU6-890P	0.557197815
ANXA2P1	0.557237219
OR6F1	0.557331672
AKR1B10	0.557331672
RN7SL382P	0.557331672
C11orf1	0.557380075
FBXL6	0.55738328
MIR4257	0.5574204
ASS1	0.55742837
KBTBD11	0.55742837
RP11-513O17.2	0.55742837
DDX11L9	0.557547027
RP11-143J12.3	0.557547027
RP11-395P13.5	0.557617858
SMKR1	0.557664968
SENP1	0.557888213
FCER2	0.557888213
BUB1	0.557888213
CCL4L2	0.557888213
LINC00399	0.557888213
RP11-112L6.2	0.557888213
AC092594.1	0.557888213
RP3-522J7.5	0.557888213
CTD-2114J12.1	0.557888213
POLR2KP1	0.558041208
CTD-2655K5.1	0.558214697
RP11-775D22.3	0.558219009
EREG	0.558389999
RP11-149P24.1	0.558421386
STAC	0.558516539
CBWD5	0.558650813
ZNF181	0.558673643
MIR1301	0.558770534
AKR1E2	0.558836413
RNA5SP336	0.558836413
PHKA1P1	0.558836413
RP5-837I24.2	0.558839157
RP1-251M9.3	0.558984078
RP5-1022P6.7	0.558996175
GZMM	0.559101999
AURKA	0.559129253
SIAH2-AS1	0.559129253
RP11-382A20.5	0.559129253
RP5-855D21.1	0.559129253
RP11-312J18.5	0.559193261
GPR137	0.55923057
yR211F11.2	0.55923057
RP5-1048B16.1	0.55923057
TPT1P1	0.559322331
LPCAT4	0.559342345
RP11-461A8.4	0.559353309
ESPNL	0.559404502
CNIH1	0.559607918
GDPD4	0.559607918
RP11-46A10.4	0.559607918
KCNH3	0.559637744
SLC4A10	0.559637744
AC062028.1	0.559637744
PDE6G	0.559637744
RP11-98D18.7	0.559637744
NDUFA5P11	0.559637744
RP11-687F6.4	0.559637744
RP11-573D15.2	0.55969456
AC108861.1	0.55969456
RP11-379B18.5	0.559699449
RP11-130F10.1	0.559759709
RP1-91J24.3	0.559801213
RP11-548O1.3	0.5598017
IFT43	0.559804423
DUS4L	0.559808956
TBC1D32	0.559882373
MFAP3L	0.559882373
MCCD1P1	0.559888872
LBX2-AS1	0.559964031
ARMC4	0.560106588
ZNF79	0.560106588
ATG10-IT1	0.560122842
RP3-322G13.7	0.560133448
FBXO34	0.560159868
PRMT2	0.560163166
CTD-2528A14.5	0.560163166
TBC1D3	0.560362303
PTP4A1P3	0.560362303
CORO2A	0.56047919
RNU6-179P	0.560492739
MIR618	0.560492739
KANSL1-AS1	0.560492739
RP11-656D10.3	0.560492739
RP11-158G18.1	0.560492739
AP000343.1	0.560498617
HLA-T	0.560498617
INTS4L1	0.560549764
MIR4282	0.560549764
RP4-803A2.2	0.560600405
EXO1	0.560634272
GS1-115G20.1	0.560653888
CTC-281F24.1	0.560653888
RNU6-530P	0.560676272
AC006028.11	0.560771108
RNU6-585P	0.560845228
RNU2-69P	0.560906565
MCMBP	0.560986276
RP1-86D1.3	0.561078197
RP11-299H21.1	0.561078197
RP3-462E2.5	0.561086718
TMEM161A	0.561113945
RP11-183E9.2	0.56115276
RP11-397D12.4	0.56115276
RP11-902B17.1	0.56115276
BCL2L2-PABPN1	0.56115276
RP11-140I24.1	0.56115276
RP11-451F20.1	0.561228117
GRIK2	0.561315235
TPSG1	0.561378229
RAD51B	0.561378229
RP11-806L2.2	0.561402608
MASP2	0.561418873
CACNA2D3	0.561418873
RP11-87F15.2	0.561418873
MIR146A	0.561418873
ABCA6	0.561432935
NAT16	0.561432935
CAPN1	0.561443529
PLEKHF1	0.56151628
KCNMB3	0.56151628
WDR20	0.561592849
RP11-553N19.1	0.561704599
UBA52P9	0.561731984
MAPT-AS1	0.561731984
KIAA2026	0.561742121
CTD-2616J11.16	0.561742121
MIR7-3	0.561834933
GPR160	0.561849879
LRP11	0.561864128
STYXL1	0.561913454
KALP	0.561917425
MIR633	0.561958575
HAGH	0.561996321
KCNAB2	0.561996321
C22orf31	0.561996321
ARHGAP5	0.561996321
RAD51C	0.561996321
BSDC1	0.561996321
HEXIM1	0.561996321
RANGAP1	0.562028187
RP11-433O3.1	0.562028187
ICAM5	0.562144803
RP11-91I20.3	0.562144803
RBPMS-AS1	0.562144803
AC074389.6	0.562203477
RP11-203L2.3	0.562203477
KIAA1257	0.562263452
PNPLA7	0.562263452
RP4-738P15.1	0.562287729
CHMP1A	0.562313979
RLIMP1	0.562313979
PRKAG2	0.562438162
RP11-285J16.1	0.562489999
LINC00984	0.562511425
RPS10P2	0.562540345
SETD9	0.562543272
MTRNR2L5	0.562588325
MRPL2P1	0.562694196
OAS2	0.562722186
LL0XNC01-237H1.3	0.562728729
MCM10	0.562751333
SLC8A1-AS1	0.562751333
AC005009.1	0.562751333
RP11-64D22.2	0.562751333
P2RY11	0.562751333
RP11-613D13.4	0.562751333
RNU6-959P	0.562797006
AC062021.1	0.562797006
PQLC1P1	0.562797006
SMIM2-AS1	0.562977698
ZNF177	0.562977698
LA16c-380H5.5	0.562977698
DDX19A	0.563006671
RP11-423E7.1	0.563263557
AC019185.3	0.563267927
LRP4	0.563284213
RNF217	0.563284213
ZNF839P1	0.563284213
RNU4-72P	0.563284213
GAPDHP58	0.563284213
RP11-331F9.3	0.563284213
RPL21P71	0.563284213
RP11-527L4.2	0.563284213
NF2	0.563287358
RP11-94M14.2	0.563373575
RP11-384C12.1	0.563378288
RFXANK	0.563471649
MT-TD	0.563519718
RP11-473M20.9	0.563631623
GRM4	0.563665763
AC002550.5	0.563665763
RN7SL753P	0.563698364
CTD-2287O16.1	0.563718465
VEGFA	0.563738563
RP11-107D24.2	0.563738563
FAM69A	0.563786837
ADH6	0.563786837
KCND2	0.563830738
RP4-635E18.6	0.563830738
AC011742.3	0.563830738
RP11-436H11.3	0.563830738
RP11-632K20.6	0.563830738
AC068542.1	0.563838252
RP11-473C19.1	0.563838252
RP13-238F13.5	0.563838252
RPS14	0.563864273
RP11-134K13.4	0.563864273
SPINK5	0.563937763
BRAF	0.563963294
ANKK1	0.563963294
GOLGA8K	0.563963294
RP11-711K1.7	0.564036698
RP11-188P17.2	0.56404791
TEX9	0.564052784
RNU6-50P	0.564130069
RP11-142I2.1	0.564155363
STK11	0.564451389
MUC15	0.564451389
SRGAP1	0.564451389
RP11-1277A3.3	0.564451389
ZIC2	0.564457148
EDEM2	0.564457148
CNTD2	0.564457148
CAMLG	0.564457148
MIS12	0.564457148
RP11-1006G14.4	0.564457148
WDR17	0.56453033
DNAJC11	0.564552362
RP11-556O9.3	0.564597457
RP11-318M2.2	0.564629042
OR1L8	0.564635496
FAM153B	0.564647263
DCBLD2	0.564659207
RP11-120D5.1	0.564670619
RP11-468H14.1	0.564670619
SNORD114-3	0.564722671
PSMD11	0.564784929
AC145676.2	0.564784929
RP11-172E10.1	0.564784929
RP11-925D8.3	0.564785743
AC007272.3	0.564884622
RNU6-1046P	0.564884622
SLC34A1	0.56499903
CTD-3216D2.5	0.56499903
AP001816.1	0.565128794
PRUNE2	0.565165797
TRHR	0.565165797
CTD-2620I22.3	0.565165797
AAGAB	0.565207194
RP11-98I9.4	0.565207194
RP11-242C24.2	0.565207194
RP11-124A7.1	0.565261954
MIR3138	0.565263215
AC018359.3	0.565323875
MATN4	0.56546727
KIF12	0.56546727
CNOT8	0.56546727
AXDND1	0.56546727
NDST3	0.56546727
NHLH1	0.56546727
RP5-1024N4.2	0.56546727
ANKRD30BP3	0.56546727
RP11-206F17.2	0.56546727
ALG1L9P	0.56546727
RP11-68I3.7	0.56546727
CTC-325H20.2	0.56546727
KB-1732A1.1	0.565541597
MYBPHL	0.565643665
RP5-872K7.7	0.565643665
SNORD51	0.565646052
RP11-592P9.1	0.565646052
RAG1	0.565721458
RP11-138H8.2	0.565721458
FBXW8	0.565737356
FAM66A	0.565880037
ARMC8	0.565910941
7-Mar	0.565910941
IFFO1	0.56597095
AC138655.1	0.56597095
RNU6-402P	0.56608169
RP11-190A12.8	0.566105732
PTPN23	0.566105988
SMARCAD1	0.566105988
RP11-177B4.2	0.566105988
SAMD4A	0.566178673
AP3D1	0.566178673
AC068506.1	0.566213473
RP11-116K4.1	0.566234992
RNU6-680P	0.566258381
XXbac-BPG55C20.7	0.566258381
ACY1	0.566258381
CTD-2026D20.2	0.566258381
RP3-400B16.4	0.566258381
AL356261.1	0.566258381
AC008992.1	0.566258381
CTD-2228K2.1	0.566291862
AC005702.2	0.566296244
WBP5	0.566321617
IGFBP7	0.566348113
SPATA24	0.566350108
GS1-519E5.1	0.566354223
ANGPTL6	0.566357944
LINC00334	0.566488016
NTF3	0.566488016
RP11-492I21.1	0.566488016
RP11-655M14.13	0.566488016
RP11-611E13.3	0.566488016
FANCD2	0.566652595
DYRK1B	0.566665542
FAM179B	0.566665542
CTC-338M12.2	0.566665542
POM121C	0.56678484
AC104395.1	0.56678484
RPL3P1	0.56678484
AC020910.2	0.566856474
LARP7	0.566917945
MB21D2	0.566917945
RP11-247A12.7	0.566917945
AL049840.1	0.566936378
AC105393.1	0.566936378
RNU6-928P	0.566936378
RP11-130C6.1	0.566936378
LRRC59	0.567010941
RP11-264B17.4	0.56708504
RP11-60A24.3	0.567213557
AC009132.1	0.567243442
FUZ	0.56726834
RP11-177N22.2	0.567332754
AL133373.1	0.567332754
TRDMT1	0.567433673
RP11-140K17.3	0.567563122
ASTN1	0.567599759
TMEM50B	0.567643956
CNTFR-AS1	0.567643956
SERPINB8	0.567645191
SMIM14	0.5677437
RP11-655C2.3	0.5677437
NOP16	0.567802008
ERAP1	0.567802008
SIX5	0.567802008
NPM1P49	0.567802008
RP11-370I10.2	0.567802008
AC006116.15	0.567802008
RPS2P1	0.567804687
OR52X1P	0.567816278
RP11-217E22.5	0.567816278
ABCA8	0.56783166
RPL41P1	0.56783166
TCF24	0.56783166
C1orf131	0.567879683
RTFDC1	0.567940542
OR5B21	0.567940542
RNU6-1086P	0.567940542
RP11-826N14.2	0.567940542
EIF5AP3	0.567940542
OR2T4	0.568036376
RP11-339B21.9	0.568225548
RP11-429D19.1	0.568225548
CD164L2	0.56823767
WT1	0.56823767
SFT2D1	0.56823767
AC016739.2	0.56823767
RNU6-1003P	0.56823767
TMEM9B-AS1	0.56823767
RNA5SP42	0.568266472
ZDHHC12	0.568415359
LA16c-380H5.3	0.568415359
RNA5SP435	0.568422717
RP11-29H23.4	0.568422717
RP11-93K22.13	0.568422717
FMN2	0.568519645
IGF1	0.568541934
PMF1	0.56855588
TIGD1	0.56855588
RP11-44F14.5	0.56855588
LL09NC01-251B2.3	0.56855588
RNASEH2A	0.568558943
RP11-340F14.5	0.568562948
MCU	0.568627776
DHRS13	0.568627776
KIF25	0.568663964
RP3-399L15.2	0.568663964
PCTP	0.568710723
TCP11	0.568712444
AC007486.1	0.568712444
RP13-582O9.5	0.568712444
COMP	0.568767358
MIR199A1	0.568767358
NOP56	0.568858775
NPTX2	0.568879143
RN7SL385P	0.568928492
CTD-2336H13.2	0.568928492
OXCT1	0.568971207
BAG4	0.568971207
NKAPL	0.569036594
RNU6-780P	0.569036594
CLINT1	0.569303501
POLR1E	0.569303501
AC132192.1	0.569312812
APBA1	0.569368429
OR13D2P	0.569368429
GLUD1P8	0.56940072
AC007740.1	0.56940072
FAM45A	0.569410746
RNU6-674P	0.569410746
RP11-58E21.1	0.569410746
MIR4419A	0.569410746
RP11-385F7.1	0.569410746
RP4-612B18.3	0.569455385
ADCY10P1	0.569467807
BIN1	0.569473883
RP11-269G24.2	0.569473883
SNURF	0.569473883
AC009403.2	0.569528953
CHMP4A	0.569535804
KIF1B	0.569690717
TGFB1I1	0.569690717
GPR157	0.569690717
RP5-1069C8.2	0.569690717
RP11-29G8.3	0.569690717
RP11-17M16.2	0.569690717
RP4-640E24.1	0.569712915
MIR4313	0.569712915
RNU6-1053P	0.569713506
RNU6-840P	0.569716285
CTB-58E17.5	0.569769491
RP11-499E18.1	0.569769491
RP3-404K8.2	0.569769491
RP11-473M20.16	0.569801461
SPPL2A	0.570002869
NXT1P1	0.570002869
KRT18P15	0.570003169
RP11-83C7.2	0.570003169
RP11-390D11.2	0.570029929
ARL2BPP5	0.570073213
RP11-508N22.6	0.57015896
NCK1	0.570322028
HIST3H2A	0.570322028
CTD-2023N9.1	0.570322028
LINC00557	0.570322028
RP5-1139B12.3	0.570322028
NDUFS5	0.570348694
RP11-384B12.3	0.570348694
RP11-541G9.2	0.570348694
NEXN	0.570362764
RNU6-37P	0.570362764
RP11-817O13.6	0.570399827
DNAJC17	0.570486923
CMTM2	0.570486923
RNU6-226P	0.570486923
AC012456.3	0.570486923
RP3-473L9.4	0.570486923
GRIN2D	0.570650272
TSPAN31	0.570650272
ZNF32	0.570739882
LRRC31	0.570757635
EIF2S2	0.570757635
TMBIM6	0.570757635
RUFY4	0.570757635
ARL5AP3	0.570757635
MIR4737	0.570757635
AL160037.1	0.570758347
LBX1-AS1	0.570767279
RP11-338C15.3	0.570847762
PPP2R1A	0.570852691
FLG2	0.570883271
FLRT2	0.570883271
ZKSCAN5	0.570883271
HCG27	0.570883271
PTCHD3P3	0.570883271
AC079781.8	0.570883271
AL353898.3	0.570883271
AC007405.6	0.570883271
CCT6P2	0.570883271
ENSAP2	0.570883271
RP11-355E10.1	0.570883271
AC006994.1	0.570890783
POU5F1P6	0.570890783
IGIP	0.570985339
COPS7A	0.571006505
RP11-160A9.2	0.571006505
TUBBP9	0.571006505
MIR135A2	0.571047636
SMG6	0.571082634
RP11-972P1.8	0.571105103
L3MBTL4	0.571191785
CCDC110	0.571368656
NFE2L1	0.571383929
RP11-210H10__A.1	0.571383929
CCL3	0.571465719
CCDC147	0.571465719
PROZ	0.571465719
RP11-345J4.8	0.571465719
RP11-214N15.5	0.571465719
TRPC7-AS1	0.571465719
HMGN1P28	0.571465719
NAMPT	0.571484576
MIR4500HG	0.571484576
NBN	0.571586898
EFCAB7	0.571704572
C6orf222	0.571725001
RP11-280K24.4	0.571817561
RPL34-AS1	0.571889777
ASCC2	0.571924844
FRAT2	0.571967426
GLRA2	0.572105657
POLR2B	0.572134014
SLC35F3	0.572396629
FGD1	0.572409972
SETP21	0.572409972
POLR3F	0.57248023
ZBTB2	0.572517261
RP11-383B4.4	0.572545172
SLC1A1	0.572604125
KIF21A	0.572604125
RP11-54O15.3	0.572604125
RGAG1	0.572604125
RP11-241F15.10	0.572604125
IL1RN	0.572621061
LRRC23	0.572706644
MIR548T	0.572706644
RP1-153P14.5	0.572706644
RP11-380P13.1	0.572706644
ZNF763	0.572706644
UBE2SP1	0.572712609
TMEM238	0.572842409
KIRREL3-AS2	0.572842409
RP11-464F9.20	0.572842409
CTNNB1	0.572848354
RP11-45K10.2	0.572848354
RNF208	0.572848886
RP11-375N9.2	0.573021008
RP11-1070N10.3	0.573021008
MTG1	0.573031644
RP13-81N3.1	0.573031644
FAM173B	0.573053141
ZNF22	0.573053141
SRRM2	0.573053141
RNU6-820P	0.573053141
RP11-119K6.6	0.573062237
GSTT2	0.57312345
DCTPP1	0.573136665
CLSPN	0.573181689
CTC-558O2.2	0.57320904
RP11-10N23.5	0.573258707
FAM135A	0.573346667
RP11-443A13.5	0.573346667
MIR3176	0.573401885
GDA	0.573407512
TP73-AS1	0.573480363
ASNSP5	0.573480363
GFM2	0.573481759
GNG2	0.573481759
PEBP1P2	0.573481759
RNF138	0.573489329
RP11-267N12.1	0.573491123
RNU6-564P	0.573595198
ATAD3C	0.573608805
MEGF8	0.573678548
GS1-57L11.1	0.573678548
RP4-742C19.12	0.573749765
ZNF804A	0.573772566
RP11-683L23.1	0.573772566
RNU7-180P	0.573772566
AC078925.1	0.573772566
TRIM6	0.573801317
ISG15	0.573851808
ANKRD55	0.573865619
MCM3	0.574268273
PTPN7	0.574268273
DLX1	0.574268273
NUP35	0.574268273
AC092755.4	0.574268273
RP11-495K9.6	0.574268273
RP11-560G2.1	0.574268273
RP11-523O18.1	0.57429382
RNU6-272P	0.574383402
TMEM92	0.574441454
HYOU1	0.574465365
RP11-47I22.3	0.574465365
RP11-1H8.4	0.574465365
C15orf27	0.574646477
RP11-123J14.2	0.57471385
RP11-501M7.1	0.57473846
AP001347.6	0.574744655
RPL7AP60	0.574758129
RNVU1-13	0.574788032
CTD-2547L24.3	0.574903317
RP11-56B16.1	0.574903317
STK17A	0.574947307
RN7SL574P	0.574947307
RP11-145M9.4	0.574950802
GPRC5C	0.57507939
AC010974.3	0.575134689
RP11-509J21.4	0.575139065
NUDT8	0.575143544
RP11-413B19.2	0.575192744
R3HDM1	0.575205302
FAM149A	0.575205302
TMEM53	0.575205302
MANF	0.575205302
RP11-783K16.13	0.575205302
RP11-146F11.5	0.575205302
RXRA	0.57536788
ZNF585A	0.575392117
BUB3	0.575397367
RP5-1022P6.4	0.575397367
FAM118A	0.575407363
MORN1	0.575407363
RP11-222A5.1	0.575407363
SLC16A11	0.575479187
SAE1	0.575524697
RAB15	0.575588392
RP11-32B5.2	0.575588392
RP11-671M22.6	0.575677657
IBA57	0.575723885
EXOSC7	0.575829618
RP4-665J23.2	0.575829618
EPHB4	0.575923522
KIAA1279	0.575927639
AC005588.2	0.575927639
RN7SL263P	0.575927639
RP11-1E1.2	0.575927639
RP11-80H5.6	0.576025776
MTND2P4	0.576025776
AC010894.3	0.576029284
AF127936.7	0.576029284
RN7SL634P	0.576029284
RP11-847H18.3	0.576029284
RP11-815I9.4	0.576029284
AP000892.8	0.576097486
PTTG3P	0.576104518
RP11-324I22.2	0.576104518
ZZEF1	0.576509134
CDHR1	0.576509134
ANKRD45	0.576509134
YTHDF2	0.576509134
PPP1R26P1	0.576509134
SLC25A3P2	0.576509134
GABRA1	0.576576025
SLC25A5P1	0.576576025
AC011516.2	0.576576025
RP11-65L3.4	0.576576025
AL355490.2	0.576578725
NIT1	0.576586601
RP11-70P17.1	0.576586601
RP11-498P14.5	0.576596853
MIR181C	0.576602948
C16orf74	0.576690199
IGLV1-36	0.576690199
FAM90A11P	0.576690199
AC131056.3	0.576690199
RP4-604K5.3	0.576690199
RP11-461M2.2	0.576690199
XXbac-BPGBPG55C20.3	0.576848405
RP11-85D18.1	0.576937353
RP11-175O19.4	0.576948243
HDAC1	0.577080895
MRPL44	0.577080895
SULT1C2	0.577080895
AC091878.1	0.577080895
RP11-1O2.1	0.577080895
RP11-4F22.2	0.577080895
RP11-621L6.3	0.577080895
