HEIGHT(control)	P
GATD1	3.24E-07
CEND1	1.38E-05
SLC25A22	2.57E-07
PIDD1	0.0077317
RPLP2	0.00012383
PNPLA2	0.00011033
CRACR2B	0.00010226
CD151	0.19693
POLR2L	0.10295
TSPAN4	0.00032795
CHID1	3.93E-05
AP2A2	5.37E-07
MUC6	2.56E-07
LINC02688	0.021643
MUC2	0.0031782
MUC5AC	0.21043
MUC5B	0.0010177
TOLLIP	4.41E-09
BRSK2	4.30E-05
MOB2	8.79E-17
DUSP8	1.59E-06
NA	2.72E-07
KRTAP5-3	0.89084
KRTAP5-4	0.010169
KRTAP5-5	0.10197
LINC02708	0.71029
IFITM10	0.43172
CTSD	0.27245
SYT8	4.85E-07
LSP1	1.64E-15
TNNT3	1.11E-07
MRPL23	1.90E-15
INS-IGF2	2.07E-16
IGF2	1.16E-15
INS	0.58486
TH	5.00E-10
ASCL2	0.04237
C11orf21	0.087465
TSPAN32	0.044488
CD81	0.051019
TSSC4	0.38693
TRPM5	0.00085227
KCNQ1	3.58E-15
SLC22A18AS	0.00024994
SLC22A18	3.46E-07
PHLDA2	5.20E-05
NAP1L4	5.21E-06
CARS1	1.85E-10
OSBPL5	1.55E-07
MRGPRE	0.7223
ZNF195	0.54576
ART5	0.21103
ART1	0.043276
CHRNA10	0.035373
NUP98	0.00052304
PGAP2	0.060296
RHOG	0.00069268
STIM1	0.20242
RRM1	0.010857
OR52B4	0.89599
TRIM21	0.23393
OR52K2	0.10017
OR52K1	0.00035478
OR52M1	2.69E-06
C11orf40	9.49E-07
OR52I2	2.39E-14
TRIM68	4.07E-08
OR51D1	0.0001372
OR51E1	0.00067382
OR51E2	0.41901
OR51F1	0.048965
OR52R1	0.015675
OR51F2	0.43917
OR51S1	0.41902
OR51A7	0.60908
OR51G2	0.43499
OR51G1	0.0054431
MMP26	0.91117
OR51L1	0.48244
OR52J3	0.7794
OR52E2	0.71203
OR52A5	0.068929
OR51V1	0.59906
HBB	0.54626
HBD	0.0014796
HBG1	0.71155
HBG2	0.62474
OR51B4	0.52085
OR51B2	0.15737
OR51B5	0.255
OR51B6	0.41464
OR51M1	0.87518
OR51Q1	0.50441
OR51I1	0.12662
OR51I2	0.37965
OR52D1	0.31152
UBQLN3	0.0006704
UBQLNL	0.0032557
OLFM5P	0.0061877
OR52H1	0.0084538
OR52B6	0.26227
TRIM6	3.29E-15
TRIM6-TRIM34	1.05E-08
TRIM34	0.012742
TRIM5	0.00095239
TRIM22	0.11631
OR52N4	0.15754
OR56B1	0.087541
OR52N1	0.0067124
OR52N2	0.0068333
OR52E6	0.037352
OR52E4	0.1724
OR56A3	0.1135
OR56A5	0.038987
OR52L1	0.95957
OR56A4	0.82188
OR56A1	0.33242
OR56B4	0.79247
OR52W1	0.0083535
C11orf42	0.55481
FHIP1B	0.44003
CNGA4	0.30707
CCKBR	0.2193
CAVIN3	0.01398
SMPD1	0.58034
APBB1	0.027858
HPX	0.82823
TRIM3	0.044506
ARFIP2	0.38535
TIMM10B	0.39383
DNHD1	0.18615
RRP8	0.17454
ILK	7.92E-11
TAF10	0.36667
TPP1	0.00020457
DCHS1	2.85E-14
MRPL17	0.12376
OR2AG2	0.34658
OR2AG1	0.00069913
OR6A2	0.15162
OR10A2	0.25218
OR10A4	0.20989
OR2D2	0.21542
OR2D3	0.057841
ZNF215	0.14031
ZNF214	0.020418
NLRP14	0.033061
SYT9	0.068624
OLFML1	0.012166
PPFIBP2	5.30E-06
CYB5R2	0.17429
OVCH2	0.0053333
OR10A6	0.10645
NLRP10	0.83324
EIF3F	0.075461
TUB	1.49E-09
RIC3	9.59E-12
LMO1	3.24E-14
STK33	0.001033
TRIM66	7.81E-06
RPL27A	7.94E-12
DENND2B	2.15E-14
AKIP1	1.90E-08
C11orf16	3.21E-07
ASCL3	6.73E-08
TMEM9B	5.40E-07
NRIP3	6.34E-09
SCUBE2	6.06E-14
DENND5A	0.00042226
TMEM41B	3.59E-06
IPO7	1.88E-15
ZNF143	2.95E-13
WEE1	0.083087
SWAP70	0.13845
SBF2	9.88E-15
AMPD3	0.0098966
RNF141	0.0097127
LYVE1	0.27938
IRAG1	0.0064053
CTR9	0.0023016
EIF4G2	0.00054712
ZBED5	0.012607
GALNT18	2.11E-05
CSNK2A3	0.65653
USP47	2.15E-15
DKK3	5.00E-10
MICAL2	9.94E-13
NA	0.018555
PARVA	0.00012392
TEAD1	3.20E-14
RASSF10	0.0002049
BMAL1	5.00E-10
BTBD10	0.025307
PTH	0.73338
FAR1	0.0037825
SPON1	1.25E-13
RRAS2	2.32E-15
COPB1	7.85E-13
PSMA1	5.86E-16
PDE3B	4.16E-15
CYP2R1	1.98E-08
CALCA	2.35E-05
CALCB	1.72E-07
INSC	2.82E-13
SOX6	2.28E-14
C11orf58	1.84E-06
NA	5.74E-07
PLEKHA7	2.69E-12
RPS13	5.00E-10
PIK3C2A	5.00E-10
NUCB2	5.00E-10
NCR3LG1	1.60E-12
KCNJ11	5.00E-10
ABCC8	2.50E-10
USH1C	0.014439
OTOG	8.45E-07
KCNC1	0.00010652
SERGEF	7.17E-16
TPH1	1.66E-15
SAAL1	7.93E-15
MRGPRX3	3.60E-10
MRGPRX4	0.00096865
SAA4	0.055846
SAA2-SAA4	0.020466
SAA2	0.14258
SAA1	0.017734
HPS5	2.98E-06
GTF2H1	5.28E-08
LDHA	1.06E-14
LDHC	4.73E-08
LDHAL6A	4.51E-14
TSG101	1.49E-13
UEVLD	1.86E-15
SPTY2D1	5.00E-10
TMEM86A	0.00099526
IGSF22	0.0029684
PTPN5	0.031822
MRGPRX2	0.72063
ZDHHC13	0.097168
CSRP3	0.1223
E2F8	0.098116
NAV2	9.83E-08
DBX1	0.0087239
HTATIP2	0.88367
PRMT3	0.99344
SLC6A5	0.058386
NELL1	0.00114
ANO5	0.00012771
SLC17A6	4.08E-06
FANCF	8.58E-08
GAS2	0.0043624
SVIP	0.33466
CCDC179	0.2062
LUZP2	0.093392
ANO3	0.0075946
MUC15	0.11427
SLC5A12	2.68E-06
FIBIN	0.022247
BBOX1	0.0022699
CCDC34	0.00098463
LGR4	8.09E-11
LIN7C	0.055908
BDNF	1.04E-09
KIF18A	1.24E-07
METTL15	1.87E-08
KCNA4	0.00027741
FSHB	3.45E-11
ARL14EP	5.00E-10
MPPED2	5.00E-10
NA	1.75E-11
DCDC1	4.75E-12
DNAJC24	1.29E-15
IMMP1L	0.010086
ELP4	0.021021
PAX6	9.60E-07
RCN1	2.54E-08
WT1	0.022912
EIF3M	3.73E-09
CCDC73	2.50E-10
PRRG4	0.00022549
QSER1	0.00049067
DEPDC7	0.00025571
TCP11L1	0.00024901
CSTF3	0.00093688
HIPK3	0.0007462
KIAA1549L	0.72566
C11orf91	1.65E-06
CD59	5.33E-09
FBXO3	1.80E-10
LMO2	0.20892
CAPRIN1	0.00094201
NAT10	0.0043465
ABTB2	2.11E-10
CAT	0.1229
ELF5	0.44451
EHF	0.035584
APIP	5.76E-07
PDHX	5.55E-08
CD44	0.00064466
SLC1A2	2.66E-07
PAMR1	5.00E-10
FJX1	0.88351
TRIM44	0.0010831
LDLRAD3	3.23E-15
COMMD9	0.47703
PRR5L	6.48E-05
TRAF6	0.034197
RAG1	0.094163
RAG2	0.21243
IFTAP	0.16878
LRRC4C	0.03343
API5	4.95E-06
TTC17	5.71E-07
HSD17B12	5.15E-07
ALKBH3	0.35438
ACCSL	0.0047786
ACCS	0.0032723
EXT2	1.21E-05
ALX4	0.00013576
CD82	0.66079
TSPAN18	0.020525
TP53I11	0.02877
PRDM11	2.88E-15
NA	2.83E-06
SYT13	7.64E-07
CHST1	0.044906
SLC35C1	0.15545
CRY2	1.38E-11
MAPK8IP1	0.29394
PEX16	4.55E-13
LARGE2	2.97E-11
PHF21A	9.42E-17
CREB3L1	5.78E-15
DGKZ	0.00056352
CHRM4	0.073002
AMBRA1	0.033837
HARBI1	0.31966
ATG13	0.00046294
ARHGAP1	2.52E-13
ZNF408	1.86E-17
F2	1.45E-15
CKAP5	2.12E-15
LRP4	3.13E-15
CSTPP1	5.00E-10
ARFGAP2	1.68E-12
PACSIN3	7.27E-11
DDB2	5.00E-10
ACP2	1.09E-13
NR1H3	5.00E-10
MADD	5.00E-10
MYBPC3	5.00E-10
SPI1	5.00E-10
SLC39A13	5.00E-10
PSMC3	1.53E-11
RAPSN	5.00E-10
CELF1	5.23E-14
PTPMT1	0.52321
KBTBD4	0.78236
NDUFS3	5.00E-10
FAM180B	0.61645
MTCH2	5.00E-10
AGBL2	1.05E-16
FNBP4	4.41E-12
NUP160	4.61E-11
PTPRJ	5.00E-10
OR4B1	5.00E-10
OR4X1	5.00E-10
OR4S1	2.23E-08
OR4C3	0.67105
TRIM64C	2.38E-15
FOLH1	1.63E-10
NA	1.00E-08
OR4A16	1.17E-11
OR4C15	9.10E-11
OR4C16	2.77E-07
OR5D13	5.00E-10
OR5D14	0.057501
OR5L1	0.31272
OR5D18	1.68E-08
OR5L2	2.04E-14
OR5D16	1.15E-06
OR5W2	9.24E-11
OR5I1	1.91E-05
OR5AS1	1.07E-05
OR8I2	1.07E-05
OR8H2	1.34E-05
OR8H3	1.55E-05
OR8J3	1.04E-05
OR5J2	4.47E-26
OR5T2	9.36E-11
OR8K3	5.00E-10
OR8K1	1.99E-10
OR8J1	5.00E-10
OR8U1	7.22E-05
OR8U3	5.30E-14
OR5M9	2.13E-06
OR5M3	1.24E-16
OR5M11	3.40E-06
OR5M10	1.64E-15
OR5AP2	3.88E-05
OR5AR1	5.88E-05
OR9G1	4.83E-05
OR9G4	5.00E-10
OR5AK2	0.00020127
LRRC55	1.25E-06
APLNR	8.63E-06
TNKS1BP1	1.45E-15
SSRP1	1.62E-10
P2RX3	2.40E-12
PRG3	0.0096198
PRG2	0.0079321
SLC43A3	2.86E-12
RTN4RL2	0.00049095
SLC43A1	0.0002475
TIMM10	2.39E-08
SMTNL1	5.87E-08
UBE2L6	1.21E-10
SERPING1	1.51E-11
YPEL4	9.65E-10
CLP1	9.10E-18
ZDHHC5	1.13E-10
MED19	0.0025449
TMX2	5.00E-10
SELENOH	0.03277
BTBD18	0.31803
CTNND1	5.00E-10
OR9Q1	1.34E-14
OR6Q1	2.35E-20
OR9Q2	2.28E-07
OR1S1	0.034955
OR10W1	1.16E-05
OR5B17	7.89E-14
OR5B3	5.00E-10
OR5B2	4.02E-09
OR5B12	1.73E-21
LPXN	1.45E-15
ZFP91	7.35E-16
CNTF	1.36E-07
GLYAT	0.35607
GLYATL2	0.15507
GLYATL1	0.068104
FAM111B	0.018708
FAM111A	0.057254
DTX4	0.34965
MPEG1	0.02059
OR5A2	0.0012394
OR5A1	0.22893
OR4D6	0.22433
OR4D11	0.18658
OR4D9	0.030351
OSBP	1.07E-07
PATL1	2.00E-08
OR10V1	1.25E-05
STX3	9.65E-08
MRPL16	0.44543
CBLIF	6.89E-08
TCN1	0.4479
OOSP2	2.72E-08
MS4A3	0.00011429
MS4A2	6.53E-08
MS4A6A	2.36E-06
MS4A4E	9.01E-10
MS4A4A	7.09E-10
MS4A6E	6.10E-12
MS4A7	8.47E-07
MS4A14	6.94E-07
MS4A5	2.95E-06
MS4A1	0.0016226
MS4A12	0.014686
MS4A13	0.1456
MS4A8	0.11434
MS4A18	0.039855
MS4A15	0.022034
MS4A10	0.23797
CCDC86	0.059584
PTGDR2	0.028902
ZP1	0.020904
PRPF19	0.14061
TMEM109	0.10957
TMEM132A	0.12002
SLC15A3	0.09381
CD6	0.00043635
CD5	2.19E-07
VPS37C	5.57E-08
PGA5	0.21161
VWCE	3.51E-05
DDB1	0.0038645
TKFC	0.0033172
CYB561A3	7.95E-06
TMEM138	6.94E-08
TMEM216	9.15E-05
CPSF7	4.20E-05
SDHAF2	5.60E-05
PPP1R32	2.79E-09
LRRC10B	0.095032
SYT7	0.4529
DAGLA	0.025364
MYRF	1.48E-15
TMEM258	5.34E-41
FEN1	1.21E-10
FADS1	5.00E-10
FADS2	5.00E-10
FADS3	5.15E-16
RAB3IL1	4.95E-15
BEST1	1.09E-07
FTH1	0.00080151
INCENP	0.10826
SCGB1D1	0.34973
SCGB2A1	0.6218
SCGB1D2	0.13162
SCGB2A2	3.64E-06
SCGB1D4	0.25624
ASRGL1	0.0062018
SCGB1A1	0.36699
AHNAK	0.010519
EEF1G	0.84016
TUT1	0.061669
MTA2	0.84047
EML3	0.75261
ROM1	0.39735
B3GAT3	0.47582
GANAB	0.18009
INTS5	0.56446
LBHD1	0.11411
UBXN1	0.079358
LRRN4CL	0.035398
BSCL2	0.0071633
HNRNPUL2	0.01078
TTC9C	0.0024002
ZBTB3	0.0030881
POLR2G	0.033017
TAF6L	0.081505
TMEM179B	0.0033662
NXF1	0.032745
STX5	0.0020598
WDR74	0.0016394
SLC3A2	4.45E-06
CHRM1	0.26587
SLC22A6	0.43138
SLC22A8	0.24396
SLC22A24	0.15697
SLC22A25	0.10106
SLC22A10	0.025699
SLC22A9	0.0087441
PLAAT5	0.28293
LGALS12	0.024858
PLAAT4	0.077091
PLAAT2	0.011907
PLAAT3	0.00045889
ATL3	0.0016437
RTN3	0.12071
SPINDOC	1.96E-10
MARK2	0.0034543
RCOR2	0.022931
NAA40	4.06E-05
COX8A	0.1078
OTUB1	3.78E-05
MACROD1	4.71E-05
FLRT1	0.0026197
STIP1	0.0053427
FERMT3	0.0012396
TRPT1	0.0098033
NUDT22	0.024804
DNAJC4	0.00012081
VEGFB	0.023133
FKBP2	0.012574
PPP1R14B	0.01173
PLCB3	0.0009501
BAD	6.25E-06
GPR137	2.92E-07
KCNK4	0.44951
CATSPERZ	0.20764
ESRRA	0.028224
TRMT112	0.0038952
PRDX5	0.2058
CCDC88B	3.76E-08
RPS6KA4	5.49E-07
SLC22A11	0.094556
SLC22A12	0.0033157
NRXN2	0.0059972
RASGRP2	1.71E-07
PYGM	1.96E-07
SF1	8.65E-08
MAP4K2	8.33E-07
MEN1	1.17E-06
CDC42BPG	0.00052495
EHD1	0.062997
ATG2A	2.01E-05
PPP2R5B	2.92E-05
GPHA2	9.20E-06
MAJIN	5.46E-06
BATF2	2.02E-05
ARL2	1.49E-07
SNX15	5.00E-10
SAC3D1	5.00E-10
NAALADL1	2.74E-06
CDCA5	1.87E-15
ZFPL1	1.26E-12
TMEM262	1.37E-05
VPS51	6.56E-10
TM7SF2	0.013984
ZNHIT2	0.23221
FAU	2.82E-11
MRPL49	0.0015568
SYVN1	1.16E-07
SPDYC	1.50E-06
CAPN1	5.36E-12
SLC22A20P	6.58E-15
POLA2	2.23E-15
CDC42EP2	4.43E-16
DPF2	9.27E-17
TIGD3	4.46E-19
SLC25A45	5.00E-10
FRMD8	6.47E-13
FAUP4	1.76E-06
SCYL1	8.02E-07
LTBP3	1.95E-06
ZNRD2	5.00E-10
EHBP1L1	3.20E-14
KCNK7	0.062083
MAP3K11	8.65E-10
PCNX3	5.00E-10
SIPA1	3.67E-12
RELA	9.29E-07
KAT5	4.87E-12
RNASEH2C	3.70E-25
AP5B1	6.05E-14
OVOL1	7.26E-15
NA	5.00E-10
SNX32	3.59E-13
CFL1	7.52E-08
MUS81	1.65E-07
EFEMP2	1.73E-12
CTSW	1.20E-11
FIBP	5.00E-10
FOSL1	4.18E-14
C11orf68	0.015285
TSGA10IP	5.00E-10
SART1	5.00E-10
EIF1AD	5.00E-10
BANF1	0.020153
CATSPER1	5.00E-10
GAL3ST3	8.32E-07
SF3B2	4.22E-14
PACS1	2.56E-07
KLC2	0.018539
RAB1B	1.18E-07
CNIH2	4.63E-08
YIF1A	5.00E-10
TMEM151A	8.53E-12
CD248	1.47E-07
RIN1	0.0003772
BRMS1	7.01E-10
B4GAT1	0.38675
SLC29A2	0.0001069
MRPL11	5.00E-10
PELI3	5.00E-10
DPP3	1.62E-12
BBS1	5.00E-10
ZDHHC24	5.43E-12
ACTN3	2.75E-14
CTSF	5.00E-10
CCDC87	2.95E-32
CCS	5.00E-10
RBM14	5.00E-10
RBM14-RBM4	5.00E-10
RBM4	9.68E-13
RBM4B	4.92E-37
SPTBN2	1.26E-15
C11orf80	1.42E-15
PC	5.00E-10
LRFN4	0.00011361
C11orf86	0.2046
SYT12	4.74E-08
RHOD	5.00E-10
KDM2A	2.38E-11
GRK2	7.01E-06
ANKRD13D	4.32E-10
SSH3	1.11E-05
CLCF1	1.35E-07
RAD9A	2.14E-13
PPP1CA	5.59E-08
TBC1D10C	6.79E-09
CARNS1	1.79E-11
RPS6KB2	2.74E-10
PTPRCAP	4.39E-20
CORO1B	5.00E-10
GPR152	0.022029
CABP4	1.11E-12
TMEM134	3.09E-20
AIP	1.17E-07
PITPNM1	1.92E-31
CABP2	5.00E-10
GSTP1	1.11E-14
NDUFV1	0.11589
NUDT8	3.72E-20
TBX10	1.25E-10
ACY3	4.35E-06
ALDH3B2	0.0015319
UNC93B1	0.0042042
ALDH3B1	0.37984
NDUFS8	0.14844
TCIRG1	9.76E-12
CHKA	5.58E-05
KMT5B	0.00011971
C11orf24	4.44E-10
LRP5	6.57E-16
PPP6R3	6.64E-16
GAL	6.00E-14
TESMIN	1.84E-15
CPT1A	1.95E-13
MRPL21	0.0025142
IGHMBP2	2.48E-06
MRGPRF	6.10E-12
TPCN2	9.41E-13
MYEOV	6.56E-08
CCND1	6.36E-16
LTO1	0.068882
FGF19	0.00029397
FGF4	0.29102
FGF3	0.084769
ANO1	6.02E-15
FADD	2.94E-07
PPFIA1	0.00097748
CTTN	0.13583
SHANK2	0.0007521
DHCR7	0.06074
NADSYN1	0.1262
KRTAP5-7	0.8666
KRTAP5-9	0.20705
KRTAP5-10	0.6727
DEFB131B	0.014862
RNF121	0.003265
IL18BP	0.32246
NUMA1	0.00030763
LRTOMT	0.00034434
LAMTOR1	1.26E-07
ANAPC15	0.0089519
FOLR3	0.30568
FOLR1	0.037656
FOLR2	0.7179
INPPL1	3.04E-08
CLPB	0.0003998
PDE2A	5.11E-15
ARAP1	2.55E-08
STARD10	1.55E-09
ATG16L2	5.59E-07
FCHSD2	0.00097336
P2RY2	0.10179
P2RY6	0.00050206
ARHGEF17	0.20569
RELT	0.24337
FAM168A	0.26182
PLEKHB1	1.75E-08
RAB6A	5.55E-08
MRPL48	1.08E-07
COA4	0.00015056
PAAF1	5.69E-06
DNAJB13	0.00025273
UCP2	1.12E-06
UCP3	0.0048056
C2CD3	3.49E-07
PPME1	1.67E-11
P4HA3	1.58E-12
PGM2L1	1.38E-07
KCNE3	3.76E-05
LIPT2	8.23E-06
POLD3	2.14E-16
CHRDL2	5.00E-10
RNF169	5.00E-10
XRRA1	2.22E-15
SPCS2	2.79E-08
NEU3	1.37E-13
SLCO2B1	2.86E-09
ARRB1	3.70E-14
RPS3	1.56E-15
KLHL35	0.0010513
GDPD5	0.00023468
SERPINH1	2.91E-15
MAP6	1.28E-08
MOGAT2	0.011451
DGAT2	7.51E-08
UVRAG	9.13E-06
WNT11	0.0041174
THAP12	9.70E-05
GVQW3	1.91E-15
EMSY	1.41E-15
LRRC32	0.023308
TSKU	0.00021792
ACER3	0.82389
B3GNT6	0.4911
CAPN5	0.27775
OMP	0.29407
MYO7A	0.001039
GDPD4	1.01E-06
PAK1	1.96E-08
AQP11	7.85E-14
CLNS1A	1.08E-11
RSF1	5.39E-16
AAMDC	1.76E-15
INTS4	9.07E-16
KCTD14	6.92E-07
NDUFC2-KCTD14	1.12E-06
THRSP	1.91E-06
NDUFC2	0.9723
ALG8	8.30E-05
KCTD21	0.00030698
USP35	8.43E-12
GAB2	4.06E-11
NARS2	3.54E-10
TENM4	2.65E-06
FAM181B	0.00032106
PRCP	0.69082
DDIAS	0.66695
RAB30	0.94946
PCF11	0.95975
ANKRD42	0.22492
CCDC90B	0.20436
DLG2	2.74E-14
TMEM126A	0.018395
CREBZF	0.030752
CCDC89	5.00E-10
SYTL2	3.38E-15
CCDC83	0.0001548
PICALM	2.42E-15
EED	5.87E-17
HIKESHI	4.66E-17
CCDC81	5.00E-10
ME3	1.57E-14
PRSS23	0.28567
FZD4	0.010308
TMEM135	0.0010837
RAB38	0.31512
CTSC	0.0023753
GRM5	0.00042853
TYR	0.00084968
NOX4	5.00E-10
FOLH1B	1.66E-10
TRIM77	8.99E-09
NAALAD2	0.0021858
CHORDC1	1.41E-05
FAT3	4.55E-07
MTNR1B	0.0015409
SLC36A4	3.37E-05
DEUP1	0.089435
SMCO4	0.020605
CEP295	0.22045
TAF1D	0.47832
C11orf54	0.0078174
MED17	0.055167
VSTM5	8.40E-06
HEPHL1	0.00012193
PANX1	1.23E-08
GPR83	0.032566
MRE11	0.24802
ANKRD49	0.35628
C11orf97	0.49367
FUT4	0.62636
PIWIL4	0.31388
AMOTL1	0.0078085
CWC15	0.016251
KDM4D	4.00E-06
KDM4E	0.53023
SRSF8	0.55893
ENDOD1	2.24E-07
SESN3	2.72E-05
FAM76B	1.31E-08
CEP57	4.79E-09
MTMR2	2.22E-07
MAML2	2.10E-07
CCDC82	2.45E-05
JRKL	1.40E-05
CNTN5	1.93E-06
ARHGAP42	2.13E-10
NA	0.0024028
PGR	2.08E-08
TRPC6	0.0066512
ANGPTL5	2.06E-06
CEP126	5.45E-08
CFAP300	9.79E-09
YAP1	4.93E-12
BIRC3	0.16056
BIRC2	0.056993
TMEM123	0.12149
MMP7	0.28927
MMP20	0.0017319
MMP27	0.24787
MMP8	0.65396
MMP10	0.045415
MMP1	0.055358
MMP3	0.53865
MMP12	0.011523
MMP13	0.0099704
DCUN1D5	0.0074286
DYNC2H1	0.055408
PDGFD	3.89E-09
DDI1	0.37535
CASP12	0.43966
CASP4	0.51616
CASP5	0.75172
CASP1	0.87115
CARD16	0.89481
CARD17P	0.77902
CARD18	0.27892
GRIA4	0.2987
MSANTD4	0.58832
KBTBD3	0.040043
AASDHPPT	0.005837
GUCY1A2	0.037784
CWF19L2	0.51149
ALKBH8	0.39606
ELMOD1	0.0039486
SLN	0.37674
SLC35F2	0.0059103
RAB39A	0.01131
CUL5	0.0039603
ACAT1	0.0067305
NPAT	1.59E-05
ATM	9.36E-06
C11orf65	5.26E-06
POGLUT3	7.79E-07
EXPH5	0.35723
DDX10	0.0055987
C11orf87	0.27791
ZC3H12C	0.10005
RDX	0.10632
FDX1	8.19E-16
ARHGAP20	4.07E-15
POU2AF2	0.0033916
COLCA1	0.00011218
POU2AF3	0.00017324
POU2AF1	0.016121
LOC644277	0.0019233
BTG4	0.0079128
HOATZ	0.00013711
LAYN	0.00017522
SIK2	6.83E-08
PPP2R1B	3.76E-07
ALG9	6.15E-09
FDXACB1	5.00E-10
CFAP68	8.02E-14
CRYAB	3.85E-11
HSPB2	0.0028339
C11orf52	0.0043766
DIXDC1	9.33E-05
DLAT	0.0021718
PIH1D2	5.49E-07
NKAPD1	2.08E-06
TIMM8B	4.36E-06
SDHD	2.53E-06
TEX12	0.11372
IL18	0.33418
BCO2	0.040923
PTS	0.57114
PLET1	0.60538
NCAM1	1.68E-07
TTC12	0.0056269
ANKK1	0.0033047
DRD2	0.016971
TMPRSS5	0.0044286
ZW10	0.0103
USP28	0.0015231
HTR3B	0.0078458
HTR3A	0.0026184
ZBTB16	7.63E-12
NNMT	0.73573
C11orf71	0.157
RBM7	0.12193
REXO2	0.00066905
NXPE1	0.0021175
NXPE4	0.00062035
NXPE2	0.038559
CADM1	1.67E-13
BUD13	0.00013145
ZPR1	1.65E-05
APOA5	0.49479
APOA4	0.047615
APOC3	4.54E-06
APOA1	2.76E-06
SIK3	3.41E-14
PAFAH1B2	0.00012454
SIDT2	6.24E-08
TAGLN	0.094061
PCSK7	5.43E-14
RNF214	0.0026138
BACE1	0.00065425
CEP164	0.015384
DSCAML1	0.0028027
FXYD2	0.53786
FXYD6-FXYD2	0.12427
FXYD6	0.080302
TMPRSS13	0.60246
IL10RA	0.7236
TMPRSS4	8.91E-08
SCN4B	1.79E-13
SCN2B	0.12709
JAML	0.0021726
MPZL3	0.0011643
MPZL2	0.00012371
CD3E	0.13915
CD3D	9.07E-07
CD3G	0.068851
UBE4A	0.0011536
ATP5MG	0.001597
KMT2A	4.56E-07
TMEM25	0.1811
IFT46	0.21559
ARCN1	0.041746
PHLDB1	1.56E-15
TREH	5.00E-10
DDX6	5.00E-10
CXCR5	1.03E-05
BCL9L	2.52E-08
UPK2	0.95945
FOXR1	0.43682
CENATAC	0.14115
RPS25	0.17422
TRAPPC4	0.20968
SLC37A4	0.67681
HYOU1	7.86E-06
VPS11	3.24E-05
HMBS	0.0050062
DPAGT1	5.00E-10
C2CD2L	2.37E-13
HINFP	3.12E-11
ABCG4	0.087523
NLRX1	1.69E-10
NHERF4	4.37E-12
CCDC153	0.65729
CBL	5.76E-08
MCAM	0.00039198
RNF26	4.45E-07
C1QTNF5	0.10427
MFRP	0.10427
USP2	0.0048972
THY1	6.27E-05
NECTIN1	0.23187
TRIM29	5.71E-15
OAF	0.00018778
POU2F3	2.85E-12
TLCD5	3.34E-12
ARHGEF12	1.67E-14
GRIK4	0.070829
TBCEL	0.24407
TECTA	0.17028
SC5D	0.013137
SORL1	0.0020304
UBASH3B	2.69E-06
CRTAM	1.66E-11
JHY	1.42E-13
BSX	5.00E-10
HSPA8	1.28E-08
CLMP	1.07E-06
GRAMD1B	1.54E-08
SCN3B	0.0014079
ZNF202	0.032708
OR6X1	1.82E-06
OR6M1	2.28E-05
TMEM225	0.0080215
OR8D4	0.0011237
OR4D5	0.086518
OR6T1	0.045445
OR10S1	0.61624
OR10G9	0.18568
OR10G8	0.28149
VWA5A	0.37796
OR8G2P	0.052732
OR8G1	0.1889
OR8G5	0.57778
OR8D1	0.45638
OR8D2	0.12699
OR8B2	0.18736
OR8B4	0.73572
OR8A1	0.44678
PANX3	0.53288
TBRG1	0.26314
SIAE	0.32072
SPA17	0.10434
NRGN	0.11405
VSIG2	0.71593
ESAM	0.036496
MSANTD2	0.71625
ROBO3	0.12357
ROBO4	0.00018085
HEPACAM	0.13306
HEPN1	0.68322
CCDC15	0.0012706
SLC37A2	0.003816
TMEM218	7.38E-06
PKNOX2	2.58E-06
FEZ1	5.77E-06
LOC403312	0.028363
EI24	1.12E-06
STT3A	1.41E-08
CHEK1	1.38E-08
ACRV1	4.87E-08
PATE1	2.89E-09
PATE2	2.39E-15
PATE3	2.91E-07
PATE4	7.93E-12
HYLS1	1.51E-11
PUS3	5.44E-15
DDX25	1.80E-16
VSIG10L2	1.63E-15
CDON	5.00E-10
RPUSD4	5.11E-10
FAM118B	1.13E-15
SRPRA	5.00E-10
FOXRED1	0.60468
TIRAP	8.75E-17
DCPS	1.66E-15
ST3GAL4	1.82E-15
KIRREL3	1.50E-05
ETS1	1.24E-12
FLI1	5.00E-10
KCNJ1	1.57E-06
KCNJ5	8.93E-06
KCNJ5-AS1	0.03126
TP53AIP1	1.07E-10
ARHGAP32	1.42E-13
BARX2	0.050075
TMEM45B	0.0013847
NFRKB	4.28E-05
PRDM10	0.030345
APLP2	0.13662
ST14	0.19337
ZBTB44	0.12888
ADAMTS8	1.47E-11
ADAMTS15	0.00022429
LINC02873	0.57051
SNX19	0.094519
NTM	0.0010544
OPCML	0.0061228
SPATA19	0.34518
IGSF9B	0.083778
JAM3	0.00029984
NCAPD3	1.30E-05
VPS26B	0.035675
THYN1	0.062414
ACAD8	0.06919
GLB1L3	0.07231
GLB1L2	1.09E-05
B3GAT1	0.054737
IQSEC3	3.14E-11
SLC6A12	1.92E-06
SLC6A13	5.00E-10
KDM5A	3.25E-08
CCDC77	1.59E-15
B4GALNT3	1.98E-13
NINJ2	7.09E-14
WNK1	5.26E-06
RAD52	1.42E-08
ERC1	1.72E-14
FBXL14	0.045695
WNT5B	0.021849
ADIPOR2	0.3724
CACNA2D4	0.19891
LRTM2	0.92792
DCP1B	0.0015968
